ID;OBJECTTYPE;SPOORTAK_IDENTIFICATIE;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;KM_BEGIN;NR_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;KM_EIND;NR_EIND;KANTCODE_EIND;NR_SUB;LENGTE;OBEGINTIJD;BEHEERDER;LENGTE_GEOM
133646;spoortak;506_141AR_44.0;506;b;Amersfoort;43,978;141A;RE;506;b;Amersfoort;44,215;151B;L;;0,217;2011-11-30;ProRail;0,217331
133647;spoortak;506_93pV_44.0;506;b;Amersfoort;43,967;93;L+R;506;b;Amersfoort;43,934;95A;L+R;p;0,035;2011-11-30;ProRail;0,034550
133648;spoortak;163_965V_44.4;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,440;965;V;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,626;979;V;;0,187;2011-11-30;ProRail;0,186608
133649;spoortak;163_961V_44.4;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,383;961;V;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,669;963B;L;;0,287;2011-11-30;ProRail;0,286705
133650;spoortak;664_907BV_43.3;664;b;Rotterdam Lombardijen;43,272;907B;V;163;;Rotterdam Lombardijen - Rotterdam Centraal;44,383;961;L;;1,111;2011-11-30;ProRail;1,110832
133651;spoortak;133_962R_20.6;133;;Amsterdam Riekerpolder - Warmond;20,605;962;R;133;;Amsterdam Riekerpolder - Warmond;20,109;1185;RE;;0,475;2011-11-30;ProRail;0,475177
133652;spoortak;133_1183BqV_20.1;133;;Amsterdam Riekerpolder - Warmond;20,141;1183B;L+R;133;;Amsterdam Riekerpolder - Warmond;20,109;1185;L+R;q;0,031;2011-11-30;ProRail;0,031390
133653;spoortak;133_1183BpV_20.1;133;;Amsterdam Riekerpolder - Warmond;20,141;1183B;L+R;133;;Amsterdam Riekerpolder - Warmond;20,109;1185;L+R;p;0,031;2011-11-30;ProRail;0,031383
133654;spoortak;133_1187L_20.2;133;;Amsterdam Riekerpolder - Warmond;20,163;1187;L;133;;Amsterdam Riekerpolder - Warmond;20,214;1189;V;;0,050;2011-11-30;ProRail;0,050195
133655;spoortak;133_1163BpV_19.8;133;;Amsterdam Riekerpolder - Warmond;19,797;1163B;L+R;133;;Amsterdam Riekerpolder - Warmond;19,765;1165A;L+R;p;0,033;2011-11-30;ProRail;0,032527
133656;spoortak;133_961L_20.8;133;;Amsterdam Riekerpolder - Warmond;20,755;961;L;133;;Amsterdam Riekerpolder - Warmond;20,706;964;V;;0,050;2011-11-30;ProRail;0,049565
133657;spoortak;133_964L_20.7;133;;Amsterdam Riekerpolder - Warmond;20,706;964;L;133;;Amsterdam Riekerpolder - Warmond;20,655;965;V;;0,050;2011-11-30;ProRail;0,050018
133658;spoortak;133_964R_20.7;133;;Amsterdam Riekerpolder - Warmond;20,706;964;R;133;;Amsterdam Riekerpolder - Warmond;20,214;1189;R;;0,486;2011-11-30;ProRail;0,485829
133659;spoortak;133_962L_20.6;133;;Amsterdam Riekerpolder - Warmond;20,605;962;L;133;;Amsterdam Riekerpolder - Warmond;20,555;963;V;;0,050;2011-11-30;ProRail;0,049827
132996;spoortak;950_113AL_41.8;950;b;Rotterdam Zuid Goederen - Rotterdam Maasvlakte;41,840;113A;LE;475;a;Rotterdam Maasvlakte;1,243;982;R;;1,495;2011-11-30;Keyrail,NS-spooraansluitingen;1,495089
132997;spoortak;002_305R_35.8;002;;Leeuwarden - Groningen;35,760;305;R;002;;Leeuwarden - Groningen;36,409;313;L;;0,652;2011-11-30;ProRail;0,652032
132998;spoortak;098_3909V_29.6;098;;Breukelen - Utrecht Centraal;29,605;3909;V;098;;Breukelen - Utrecht Centraal;29,913;3911;V;;0,308;2011-11-30;ProRail;0,307539
132999;spoortak;950_79pV_41.0;950;b;Rotterdam Zuid Goederen - Rotterdam Maasvlakte;41,044;79;L+R;950;b;Rotterdam Zuid Goederen - Rotterdam Maasvlakte;41,012;81A;L+R;p;0,032;2011-11-30;Keyrail;0,032271
133000;spoortak;588_862V_2.2;588;;Amsterdam Dijksgracht;2,165;862;V;588;;Amsterdam Dijksgracht;2,191;863;R;;0,026;2011-11-30;ProRail;0,025501
133001;spoortak;588_861V_2.2;588;;Amsterdam Dijksgracht;2,153;861;V;588;;Amsterdam Dijksgracht;2,191;863;L;;0,037;2011-11-30;ProRail;0,037351
133002;spoortak;588_801R_1.6;588;;Amsterdam Dijksgracht;1,550;801;R;588;;Amsterdam Dijksgracht;1,617;805B;RE;;0,052;2011-11-30;ProRail;0,051749
133003;spoortak;588_801L_1.6;588;;Amsterdam Dijksgracht;1,550;801;L;588;;Amsterdam Dijksgracht;1,613;802;R;;0,064;2011-11-30;ProRail;0,064148
