ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG
2167637;501_915R_80.3;Onbenoemd;S;0,159;0,197;2013-11-26;;
2167638;485_39L_450.4;Onbekend;S;0,029;0,521;2013-11-26;;
2167640;950_841AR_11.6;Onbenoemd;S;0,029;0,033;2013-11-26;;
2167641;924_3623L_35.9;Onbenoemd;S;0,029;0,041;2013-11-26;;
2167646;917_984V_78.1;Onbenoemd;S;0,000;0,040;2013-11-26;;
2167647;513_57L_25.2;Onbenoemd;S;0,758;0,801;2013-11-26;;
2167648;513_57L_25.2;Onbenoemd;S;0,029;0,069;2013-11-26;;
2167649;217_73BV_35.4;Onbenoemd;S;0,000;0,017;2013-11-26;;
2167650;120_23AL_8.6;Onbenoemd;S;0,029;0,031;2013-11-26;;
2167651;470_258R_101.0;Onbenoemd;S;0,029;0,036;2013-11-26;;
2167652;555_287V_83.8;Onbenoemd;S;0,277;0,308;2013-11-26;;
2167653;555_287V_83.8;Onbenoemd;S;0,000;0,004;2013-11-26;;
2167654;664_121AL_42.4;Onbenoemd;S;0,029;0,045;2013-11-26;;
2167656;537_281AR_35.9;Onbenoemd;S;0,048;0,052;2013-11-26;;
2167657;586_97AL_80.5;Onbenoemd;S;0,016;0,026;2013-11-26;;
2169004;073_1215AL_21.9;Onbenoemd;S;0,047;0,060;2013-11-26;;
2169005;606_109V_1.0;Onbenoemd;S;13,862;13,934;2013-11-26;;
2169006;606_109V_1.0;Onbenoemd;S;0,000;0,254;2013-11-26;;
2169007;586_235BV_81.0;Onbenoemd;S;0,000;0,004;2013-11-26;;
2169009;924_2321AR_34.5;Onbenoemd;S;0,028;0,103;2013-11-26;;
2169010;105_143BR_31.5;Onbenoemd;S;1,307;1,514;2013-11-26;;
2168586;161_2705L_35.4;Onbenoemd;S;0,048;0,205;2013-11-26;;
2167747;133_1213R_21.8;Onbekend;S;0,029;0,448;2013-11-26;;
2167748;026_243BV_26.1;Onbenoemd;S;0,749;0,787;2013-11-26;;
2167749;026_243BV_26.1;Onbenoemd;S;0,000;0,049;2013-11-26;;
2167750;127_661BV_61.7;Onbenoemd;S;0,000;0,012;2013-11-26;;
2167751;514_149AR_16.6;Onbenoemd;S;0,033;0,037;2013-11-26;;
2167752;120_41BV_15.4;Onbenoemd;S;0,000;0,017;2013-11-26;;
2167753;531_883L_33.6;Onbenoemd;S;0,029;0,150;2013-11-26;;
2167754;608_31AR_87.8;Onbenoemd;S;0,039;0,106;2013-11-26;;
2167755;609_201L_28.5;Onbenoemd;S;0,351;0,386;2013-11-26;;
2167756;609_201L_28.5;Onbenoemd;S;0,028;0,062;2013-11-26;;
2167757;555_225AR_83.3;Onbenoemd;S;0,029;0,037;2013-11-26;;
2167758;123_87AR_20.7;Onbekend;S;0,098;0,099;2013-11-26;;
2167759;123_87AR_20.7;Onbekend;S;0,017;0,053;2013-11-26;;
2167760;614_113R_47.6;Onbenoemd;S;0,261;0,293;2013-11-26;;
2167761;614_113R_47.6;Onbenoemd;S;0,017;0,048;2013-11-26;;
2167762;035_155AR_60.6;Onbenoemd;S;0,048;0,055;2013-11-26;;
2167766;537_281BV_36.0;Onbenoemd;S;0,000;0,078;2013-11-26;;
2167767;950_803BV_9.7;Onbenoemd;S;0,740;0,831;2013-11-26;;
2167768;950_803BV_9.7;Onbenoemd;S;0,000;0,029;2013-11-26;;
2167769;531_1407L_34.9;Onbenoemd;S;0,029;0,031;2013-11-26;;
2167771;514_153V_16.5;Onbenoemd;S;0,000;0,009;2013-11-26;;
2167772;047_2001L_24.2;Onbenoemd;S;0,048;0,184;2013-11-26;;
2167773;122_65V_2.8;Onbenoemd;S;1,154;1,376;2013-11-26;;
2167774;122_65V_2.8;Onbenoemd;S;0,000;0,780;2013-11-26;;
2167775;098_3831L_27.8;Onbenoemd;S;0,964;1,074;2013-11-26;;
2171037;485_44V_101.0;Onbenoemd;S;0,000;0,011;2013-11-26;;
2171039;054_1369AV_54.0;Onbenoemd;S;0,000;0,011;2013-11-26;;
2171042;109_243AR_31.0;Onbenoemd;S;0,028;0,036;2013-11-26;;
2171043;950_111R_6.9;Onbenoemd;S;0,786;0,826;2013-11-26;;
2171044;950_111R_6.9;Onbenoemd;S;0,028;0,065;2013-11-26;;
2171045;950_649V_7.1;Onbenoemd;S;0,000;0,017;2013-11-26;;
2171046;015_1075L_100.4;Onbenoemd;S;0,026;0,036;2013-11-26;;
2171047;666_4241L_48.7;Onbenoemd;S;0,053;0,116;2013-11-26;;
2171048;620_83AR_42.3;Onbenoemd;S;0,267;0,345;2013-11-26;;
2171049;620_83AR_42.3;Onbenoemd;S;0,017;0,053;2013-11-26;;
2171050;209_4R_19.0;Onbenoemd;S;0,029;0,098;2013-11-26;;
2171051;506_125BV_44.0;Onbenoemd;S;0,000;0,023;2013-11-26;;
2169681;620_91BV_42.5;Onbenoemd;S;0,000;0,040;2013-11-26;;
2169682;486_908V_75.3;Onbenoemd;S;0,084;0,106;2013-11-26;;
2169683;564_952L_23.6;Onbenoemd;S;0,029;0,035;2013-11-26;;
2169684;522_219BV_58.3;Onbenoemd;S;0,000;0,030;2013-11-26;;
2169685;935_205AL_18.9;Onbenoemd;S;0,028;0,051;2013-11-26;;
2169686;927_9AV_904.3;Onbenoemd;S;0,666;0,743;2013-11-26;;
2169687;927_9AV_904.3;Onbenoemd;S;0,000;0,023;2013-11-26;;
2169688;924_3547BL_35.6;Onbenoemd;S;0,016;0,025;2013-11-26;;
2169689;478_1335R_2.1;Onbenoemd;S;0,818;0,869;2013-11-26;;
2169690;478_1335R_2.1;Onbenoemd;S;0,028;0,066;2013-11-26;;
2169692;117_1865L_7.8;Onbenoemd;S;0,048;0,723;2013-11-26;;
2169693;527_113AL_17.3;Onbenoemd;S;0,017;0,022;2013-11-26;;
2169694;557_4L_28.1;Onbekend;S;0,069;0,249;2013-11-26;;
2169695;513_91AL_25.7;Onbenoemd;S;0,038;0,050;2013-11-26;;
2169696;900_508R_200.4;Onbenoemd;S;0,029;0,105;2013-11-26;;
2169697;618_863V_50.5;Onbenoemd;S;0,000;0,037;2013-11-26;;
2168350;080_3251R_6.1;Onbenoemd;S;0,137;0,534;2013-11-26;;
2168351;135_271BV_22.1;Onbenoemd;S;0,000;0,010;2013-11-26;;
2168353;528_3BV_28.0;Onbenoemd;S;0,000;0,097;2013-11-26;;
2168354;002_347BV_50.7;Onbenoemd;S;0,460;0,743;2013-11-26;;
2168355;002_347BV_50.7;Onbenoemd;S;0,000;0,250;2013-11-26;;
2168356;107_901R_22.8;Onbenoemd;S;0,723;0,760;2013-11-26;;
2168357;520_811R_0.9;Onbenoemd;S;0,028;0,030;2013-11-26;;
2168358;532_1061BV_12.0;Onbenoemd;S;2,888;3,208;2013-11-26;;
2168359;532_1061BV_12.0;Onbenoemd;S;1,378;1,958;2013-11-26;;
2168360;532_1061BV_12.0;Onbenoemd;S;0,000;0,443;2013-11-26;;
2168361;166_2181L_143.8;Onbenoemd;S;0,100;0,147;2013-11-26;;
2168362;506_51R_43.4;Onbenoemd;S;0,434;0,481;2013-11-26;;
2168800;501_175BV_81.0;Onbenoemd;S;0,461;0,716;2013-11-26;;
2168801;501_175BV_81.0;Onbenoemd;S;0,000;0,171;2013-11-26;;
2168803;128_1241AL_10.0;Onbekend;S;0,099;0,384;2013-11-26;;
2168804;135_2065L_42.9;Onbenoemd;S;1,535;1,573;2013-11-26;;
2168805;135_2065L_42.9;Onbenoemd;S;0,048;0,286;2013-11-26;;
2168806;586_2567BL_80.8;Onbenoemd;S;0,017;0,019;2013-11-26;;
2168807;550_27R_165.8;Onbenoemd;S;0,017;0,227;2013-11-26;;
2168808;135_2023L_40.3;Onbenoemd;S;0,048;0,120;2013-11-26;;
2168810;017_333AL_24.5;Onbenoemd;S;0,048;0,127;2013-11-26;;
2168811;002_357BV_51.6;Onbenoemd;S;11,908;12,007;2013-11-26;;
2168812;002_357BV_51.6;Onbenoemd;S;0,000;0,113;2013-11-26;;
2168813;625_309AR_14.4;Onbenoemd;S;0,029;0,044;2013-11-26;;
2169011;105_143BR_31.5;Onbenoemd;S;0,038;0,126;2013-11-26;;
2169012;522_153L_57.4;Onbenoemd;S;0,520;0,556;2013-11-26;;
2169013;522_153L_57.4;Onbenoemd;S;0,027;0,054;2013-11-26;;
2169014;544_1083AL_0.1;Onbenoemd;S;0,048;0,058;2013-11-26;;
2169015;545_103R_22.5;Onbenoemd;S;0,352;0,386;2013-11-26;;
2169016;545_103R_22.5;Onbenoemd;S;0,027;0,066;2013-11-26;;
2169017;115_77AL_12.3;Onbenoemd;S;0,027;0,046;2013-11-26;;
2169018;098_3871L_28.9;Onbenoemd;S;0,048;0,098;2013-11-26;;
2169019;008_1231L_20.5;Onbenoemd;S;0,029;0,056;2013-11-26;;
2169020;093_1007L_5.8;Onbenoemd;S;1,239;1,291;2013-11-26;;
