ID;SPOORTAK_IDENTIFICATIE;GEOCODE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
26444359;555_223BL_83.4;555__;0,000000;0,882000;2015-06-04
26435626;525_437BV_50.0;525_a;0,000000;0,024000;2015-06-04
26437500;588_351AR_1.2;588__;0,000000;0,048000;2015-06-04
26432783;437_963L_0.9;437__;0,000000;0,027000;2015-06-04
26442246;950_1019pV_39.9;950_a;0,000000;0,034000;2015-06-04
26445141;617_1151AqV_39.3;617_a;0,000000;0,032000;2015-06-04
26443548;654_391BqV_48.8;654__;0,000000;0,034000;2015-06-04
26434021;514_960L_17.2;514_b;0,238000;0,465000;2015-06-04
26436692;564_1325L_23.6;564_d;0,291000;0,562000;2015-06-04
26438121;664_121AL_42.4;664_b;0,000000;0,061000;2015-06-04
26444138;531_863L_33.5;531_c;0,000000;0,017000;2015-06-04
26439872;501_175AL_81.0;501__;0,000000;0,060000;2015-06-04
26433557;116_2397AL_37.5;663_c;3,189000;3,746000;2015-06-04
26438690;155_4403R_83.0;155_d;0,000000;0,966000;2015-06-04
26437825;531_1305AL_34.6;531_c;0,000000;0,069000;2015-06-04
26442724;533_1115AL_15.2;533__;0,000000;0,103000;2015-06-04
26440846;514_915pV_18.0;514_a;0,000000;0,034000;2015-06-04
26433892;155_4453R_88.1;938__;0,055000;0,140000;2015-06-04
26435326;620_91AL_42.5;620__;0,000000;0,056000;2015-06-04
26432720;617_1199AR_40.3;617_a;0,000000;1,847000;2015-06-04
26444458;057_1AR_5.5;057__;0,000000;0,076000;2015-06-04
26431727;545_936R_22.4;545_b;0,000000;0,238000;2015-06-04
26435877;560_61L_24.8;560__;0,000000;0,525000;2015-06-04
26434067;212_105V_12.2;212__;0,000000;8,084000;2015-06-04
26431741;539_49BV_79.4;539__;0,000000;1,461000;2015-06-04
26445849;132_437AV_51.8;538__;0,107000;0,196000;2015-06-04
26443058;486_102AqV_204.7;486_c;0,000000;0,032000;2015-06-04
26442804;950_73AL_40.9;950_a;0,000000;0,804000;2015-06-04
26445882;588_866V_2.3;588__;0,000000;0,015000;2015-06-04
26442998;486_427V_77.8;486_b;0,000000;0,039000;2015-06-04
26433967;557_70V_27.4;557_a;0,000000;0,571000;2015-06-04
26442366;478_1253BV_1.8;478_a;0,000000;0,029000;2015-06-04
26443319;935_217AL_19.3;935__;0,000000;0,054000;2015-06-04
26445338;586_89BV_80.6;586__;0,000000;0,222000;2015-06-04
26443933;467_21V_101.1;467_c;0,000000;0,036000;2015-06-04
26444562;940_75AR_43.7;940__;0,000000;0,065000;2015-06-04
26439007;938_4623R_3.5;938__;0,000000;0,053000;2015-06-04
26435140;927_9311V_905.6;927__;0,000000;0,146000;2015-06-04
26435322;486_914BR_75.9;486_b;0,000000;0,046000;2015-06-04
26436366;536_219BL_60.4;564_d;0,038000;0,638000;2015-06-04
26434291;155_4453V_88.1;155_d;0,000000;0,024000;2015-06-04
26432878;602_217AR_77.1;602_b;0,000000;0,100000;2015-06-04
26434341;124_183V_3.3;124_a;0,000000;0,020000;2015-06-04
26434826;132_943V_49.2;132__;0,000000;0,036000;2015-06-04
26439653;501_179L_81.0;501__;0,000000;0,353000;2015-06-04
26434688;486_918R_76.3;486_b;0,000000;0,147000;2015-06-04
26443393;135_231L_14.8;135__;0,000000;0,578000;2015-06-04
26445472;801_905V_8.3;801_a;0,000000;0,009000;2015-06-04
26444791;588_807R_1.7;588__;0,000000;0,257000;2015-06-04
26441185;551_105AR_21.7;551_b;0,000000;0,032000;2015-06-04
26445082;527_67AL_16.9;527_c;0,000000;0,056000;2015-06-04
26442547;950_79pV_41.0;950_a;0,000000;0,032000;2015-06-04
26431183;545_109BV_22.7;545_b;0,000000;0,223000;2015-06-04
26439569;555_243AR_83.5;555__;0,000000;0,606000;2015-06-04
26435906;035_131AL_52.0;035__;0,000000;0,998000;2015-06-04
26443959;201_137AL_37.3;201__;0,000000;0,093000;2015-06-04
26439708;520_165R_0.9;072_a;0,425000;4,000000;2015-06-04
