ID;SPOORTAK_IDENTIFICATIE;OBJECT_NAAM;OBJECT_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;HOEKVERHOUDING;AFSTAND_VOORLAS_WISSELTONG;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND
161675051;603_129V_3.3;w129v-w145A/143v;S;0,000;0,021;2019-06-13;;;129;145A/143;WISSEL;WISSEL
161675796;516_287BV_2.5;w287Bv-w339r;S;0,000;5,732;2019-06-13;;;287B;339;WISSEL;WISSEL
161675797;478_1247V_1.6;w1247v-w1251r;S;0,000;0,012;2019-06-13;;;1247;1251;WISSEL;WISSEL
161674888;451_101L_74.4;w101l-w1105v;S;0,032;1,543;2019-06-13;;;101;1105;WISSEL;WISSEL
161674889;203_391R_55.1;w391r-w393v;S;0,027;0,040;2019-06-13;;;391;393;WISSEL;WISSEL
161674890;950_273AL_13.8;w273Al-w273Bl;S;0,048;0,058;2019-06-13;;;273A;273B;WISSEL;WISSEL
161674891;531_2713L_35.5;w2713/2711v-w2755r;S;0,017;0,108;2019-06-13;;;2713/2711;2755;WISSEL;WISSEL
161674892;039_5135V_109.7;w5135v-w5155v;S;0,000;0,040;2019-06-13;;;5135;5155;WISSEL;WISSEL
161674893;506_167BV_44.3;w167Bv-w175Bl;S;0,000;0,042;2019-06-13;;;167B;175B;WISSEL;WISSEL
161675936;506_143V_44.2;s1c-w215Bl;S;0,824;0,884;2019-06-13;;;232;215B;BED_SEIN;WISSEL
161675937;506_143V_44.2;w143v-s1;S;0,000;0,004;2019-06-13;;;143;126;WISSEL;BED_SEIN
161674466;606_71AL_0.2;s204a-w83Av;S;0,355;0,365;2019-06-13;;;82;83A;BED_SEIN;WISSEL
161674467;606_71AL_0.2;w71Al-s204a;S;0,033;0,057;2019-06-13;;;71A;66;WISSEL;BED_SEIN
161674468;098_3803L_27.3;s811-w3863r;S;1,442;1,707;2019-06-13;;;3860;3863;BED_SEIN;WISSEL
161674469;098_3803L_27.3;s801-s811;S;0,465;0,696;2019-06-13;;;3832;3858;BED_SEIN;BED_SEIN
161674470;098_3803L_27.3;w3803l-s801;S;0,048;0,188;2019-06-13;;;3803;3828;WISSEL;BED_SEIN
161674472;161_2671L_31.6;w2671l-w2673l;S;0,048;0,058;2019-06-13;;;2671;2673;WISSEL;WISSEL
161674473;508_865L_91.1;w865l-s29;S;0,029;0,051;2019-06-13;;;865;856;WISSEL;RIJ_NA_OPDR
161674474;506_552V_43.5;w552v-w553A/553Bv;S;0,000;0,001;2019-06-13;;;552;553A/553B;WISSEL;WISSEL
161674475;586_59BV_80.4;w59Bv-w83Av;S;0,000;0,019;2019-06-13;;;59B;83A;WISSEL;WISSEL
