SPOORTAK_IDENTIFICATIE;TRAJECT;TRJ_VAN;TRJ_NAAR;SPOORLIJNNAAM;N_SP_VAN;N_SP_NAAR;RICHTING_IN_SPOORLIJN;SPOORLIJN_VAN;SPOORLIJN_TOT;SPOORTAK_VAN;SPOORTAK_TOT;BEGIN_TRJ;EIND_TRJ;BEGIN_WISSEL_TRJ
524_295AR_71.3;;;;;;;;;;;;;;
805_7115R_400.6;;;;;;;;;;;;;;
586_2505AL_80.2;;;;;;;;;;;;;;
950_433V_27.9;;;;;;;;;;;;;;
817_90L_203.0;;;;;;;;;;;;;;
545_157BV_23.1;;;;;;;;;;;;;;
139_333L_176.3;;;;;;;;;;;;;;
586_367AL_81.1;;;;;;;;;;;;;;
514_39AqV_17.5;;;;;;;;;;;;;;
950_950V_40.2;;;;;;;;;;;;;;
478_11V_0.7;;;;;;;;;;;;;;
924_42-49R_35.4;;;;;;;;;;;;;;
486_922L_76.3;;;;;;;;;;;;;;
801_957AL_7.8;;;;;;;;;;;;;;
542_1263BqV_29.9;;;;;;;;;;;;;;
063_263L_2.7;;;;;;;;;;;;;;
817_50V_300.0;;;;;;;;;;;;;;
550_93AL_25.8;;;;;;;;;;;;;;
938_4505qV_0.2;;;;;;;;;;;;;;
305_52R_18.0;;;;;;;;;;;;;;
810_7001AqV_1.2;;;;;;;;;;;;;;
478_1545V_1.9;;;;;;;;;;;;;;
618_17AV_58.7;;;;;;;;;;;;;;
550_85AR_25.7;;;;;;;;;;;;;;
513_135AL_26.2;;;;;;;;;;;;;;
814_970R_201.6;;;;;;;;;;;;;;
486_907L_75.3;;;;;;;;;;;;;;
950_952V_27.8;;;;;;;;;;;;;;
163_957AL_44.2;;;;;;;;;;;;;;
950_101R_6.8;;;;;;;;;;;;;;
128_31R_12.7;;;;;;;;;;;;;;
855_XXXL_100.1;;;;;;;;;;;;;;
555_205V_83.3;;;;;;;;;;;;;;
130_14R_61.8;;;;;;;;;;;;;;
545_916BR_21.9;;;;;;;;;;;;;;
009_21AV_114.7;;;;;;;;;;;;;;
309_153V_5.8;;;;;;;;;;;;;;
555_511L_82.8;;;;;;;;;;;;;;
518_161R_63.5;;;;;;;;;;;;;;
555_213BqV_83.3;;;;;;;;;;;;;;
550_143BV_26.3;;;;;;;;;;;;;;
139_5009AL_177.4;;;;;;;;;;;;;;
950_79R_41.0;;;;;;;;;;;;;;
924_08-09V_35.3;;;;;;;;;;;;;;
517_197V_0.2;;;;;;;;;;;;;;
054_1379AL_54.6;;;;;;;;;;;;;;
486_941ApV_76.1;;;;;;;;;;;;;;
076_1625pV_11.6;;;;;;;;;;;;;;
609_283R_27.6;;;;;;;;;;;;;;
545_969L_22.8;;;;;;;;;;;;;;
855_YYYR_101.0;;;;;;;;;;;;;;
625_337BV_14.8;;;;;;;;;;;;;;
542_1249AR_29.8;;;;;;;;;;;;;;
074_1293AR_35.9;;;;;;;;;;;;;;
513_133BpV_26.2;;;;;;;;;;;;;;
625_267BqV_15.5;;;;;;;;;;;;;;
586_361BpV_81.1;;;;;;;;;;;;;;
527_75BV_17.1;;;;;;;;;;;;;;
518_119L_63.4;;;;;;;;;;;;;;
474_7V_201.4;;;;;;;;;;;;;;
504_927R_17.4;;;;;;;;;;;;;;
586_279BV_81.2;;;;;;;;;;;;;;
502_251AL_100.4;;;;;;;;;;;;;;
588_345AR_1.1;;;;;;;;;;;;;;
663_317AR_40.1;;;;;;;;;;;;;;
514_918V_17.9;;;;;;;;;;;;;;
514_85BpV_17.2;;;;;;;;;;;;;;
097_3607L_21.9;;;;;;;;;;;;;;
950_653R_7.2;;;;;;;;;;;;;;
550_97AL_25.8;;;;;;;;;;;;;;
654_427R_50.4;;;;;;;;;;;;;;
527_95qV_17.3;;;;;;;;;;;;;;
927_11BV_904.4;;;;;;;;;;;;;;
624_261AV_32.5;;;;;;;;;;;;;;
551_131AR_22.4;;;;;;;;;;;;;;
098_3835L_27.9;;;;;;;;;;;;;;
545_211AR_23.7;;;;;;;;;;;;;;
080_3405L_9.7;;;;;;;;;;;;;;
564_219BL_100.6;;;;;;;;;;;;;;
550_109AR_26.0;;;;;;;;;;;;;;
544_1119AV_1.0;;;;;;;;;;;;;;
624_191AL_32.4;;;;;;;;;;;;;;
027_943AV_148.5;;;;;;;;;;;;;;
054_1373AR_54.1;;;;;;;;;;;;;;
518_109L_63.2;;;;;;;;;;;;;;
531_885V_1.5;;;;;;;;;;;;;;
608_37AR_88.0;;;;;;;;;;;;;;
950_669AL_7.4;;;;;;;;;;;;;;
536_251AR_61.0;;;;;;;;;;;;;;
560_51AR_24.9;;;;;;;;;;;;;;
485_4L_300.0;;;;;;;;;;;;;;
522_153L_57.4;;;;;;;;;;;;;;
564_435AL_23.6;;;;;;;;;;;;;;
217_73AL_35.3;;;;;;;;;;;;;;
550_955R_25.1;;;;;;;;;;;;;;
817_71R_205.1;;;;;;;;;;;;;;
564_1335L_23.6;;;;;;;;;;;;;;
508_2151R_92.1;;;;;;;;;;;;;;
527_119AR_17.4;;;;;;;;;;;;;;
545_137BV_23.0;;;;;;;;;;;;;;
506_99BpV_44.1;;;;;;;;;;;;;;
620_55BV_42.2;;;;;;;;;;;;;;
609_239L_28.1;;;;;;;;;;;;;;
