ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING
194;533_1159BV_16.1;Clipped Tuned, type Corus 54E1;0;0,2;22-6-2015
195;542_1267AR_29.9;Clipped Tuned, type Corus 54E1;0,053;0,298;22-6-2015
196;542_1271AL_29.9;Clipped Tuned, type Corus 54E1;0,053;0,298;22-6-2015
197;542_1271BV_30.0;Clipped Tuned, type Corus 54E1;0;0,245;22-6-2015
198;542_1277AR_30.0;Clipped Tuned, type Corus 54E1;0,017;0,257;22-6-2015
199;544_1071BV_0.2;Glued Tuned, type Corus 54E1;0,098;0,823;22-6-2015
200;544_1079BV_0.3;Glued Tuned, type Corus 54E1;0,006;0,731;22-6-2015
201;544_1135AR_1.3;Schrey & Veit, VICON-AMSA 5RQ;0,063;0,321;22-6-2015
202;544_1135BV_1.4;Schrey & Veit, VICON-AMSA 5RQ;0;0,89;22-6-2015
203;545_75BL_22.3;Schrey & Veit, VICON-AMSA 5RQ;0,7;1,253;22-6-2015
204;545_75BL_22.3;Schrey & Veit, VICON-AMSA 5RQ;5,593;5,893;22-6-2015
205;545_75BL_22.3;Schrey & Veit, VICON-AMSA 5RQ;18,168;19,418;22-6-2015
206;546_1047AV_3.9;Clipped Tuned, type Corus 54E1;0,094;0,509;22-6-2015
207;546_1049V_3.9;Clipped Tuned, type Corus 54E1;0,283;0,406;22-6-2015
208;546_1063BR_3.6;Clipped Tuned, type Corus 54E1;0,047;1,759;22-6-2015
209;549_283V_70.9;Clipped Tuned, type Corus 54E1;0,099;0,501;22-6-2015
210;552_227AR_82.5;Clipped Tuned, type Corus 54E1;3,964;4,589;22-6-2015
211;552_229BV_82.6;Clipped Tuned, type Corus 54E1;3,964;4,578;22-6-2015
212;602_221AR_77.3;Schrey & Veit, VICON-AMSA 5RQ;9,812;9,987;22-6-2015
213;602_221BV_77.4;Schrey & Veit, VICON-AMSA 5RQ;9,712;9,884;22-6-2015
214;605_1BL_33.4;Schrey & Veit, VICON-AMSA 5RQ;5,909;6,14;22-6-2015
215;605_1BL_33.4;Schrey & Veit, VICON-AMSA 5RQ;0,15;1,104;22-6-2015
216;605_25AL_34.1;Schrey & Veit, VICON-AMSA 5RQ;0,143;1,228;22-6-2015
217;605_25BV_34.1;Schrey & Veit, VICON-AMSA 5RQ;0,083;1,083;22-6-2015
218;605_3BL_33.5;Schrey & Veit, VICON-AMSA 5RQ;6,003;6,234;22-6-2015
219;605_3BL_33.5;Schrey & Veit, VICON-AMSA 5RQ;0,126;1,198;22-6-2015
220;608_65AL_88.8;Glued Tuned, type Corus 54E1;7,909;11,969;22-6-2015
