ID;SPOORTAK_IDENTIFICATIE;DOELGROEP;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;LOKALE_SNELHEID;DATUM_VERWERKING
149324103;203_433L_66.1;T;0,000;0,044;40;2018-11-28
149324172;501_29AL_80.2;T;0,000;0,059;40;2018-11-28
149324915;008_1221V_10.3;T;0,005;10,075;100;2018-11-28
149324916;008_1221V_10.3;T;10,075;10,271;100;2018-11-28
149324917;008_1231L_20.5;T;0,000;0,056;100;2018-11-28
149324918;008_1231L_20.5;T;0,056;0,328;40;2018-11-28
149324919;008_1231R_20.5;T;0,000;0,327;40;2018-11-28
149324920;008_1235V_20.8;T;0,000;0,544;40;2018-11-28
149324921;008_1245L_21.4;T;0,000;0,244;40;2018-11-28
149324922;008_1245L_21.4;T;0,244;0,540;100;2018-11-28
149324923;008_1245R_21.4;T;0,000;0,541;40;2018-11-28
149324924;008_1253V_21.9;T;0,000;0,158;100;2018-11-28
149324925;008_1255R_22.1;T;0,000;0,043;100;2018-11-28
149324173;501_29AR_80.2;T;0,000;0,048;40;2018-11-28
149324174;501_29BL_80.3;T;0,000;0,048;40;2018-11-28
149324175;501_29BqV_80.3;T;0,000;0,034;40;2018-11-28
149324176;653_31V_102.6;T;0,000;0,011;40;2018-11-28
149324177;501_31AL_80.2;T;0,000;0,060;40;2018-11-28
149324178;501_31AV_80.2;T;0,000;0,071;40;2018-11-28
149324179;501_31BV_80.3;T;0,000;0,175;40;2018-11-28
149324198;550_41AV_25.3;T;0,391;1,945;100;2018-11-28
149324199;550_41AV_25.3;T;1,945;7,930;130;2018-11-28
149324200;550_41AV_25.3;T;7,930;8,054;130;2018-11-28
149324201;550_41BR_25.3;T;0,000;0,095;60;2018-11-28
149324202;550_41BR_25.3;T;0,095;0,305;100;2018-11-28
149324203;550_41BR_25.3;T;0,305;2,994;100;2018-11-28
149324204;550_41BR_25.3;T;2,994;3,421;100;2018-11-28
149324205;550_41BR_25.3;T;3,421;9,466;100;2018-11-28
149324206;550_41BR_25.3;T;9,466;9,481;100;2018-11-28
149324926;008_1255R_22.1;T;0,043;2,800;100;2018-11-28
149324927;008_1255R_22.1;T;2,800;3,310;100;2018-11-28
149325093;011_305L_69.9;T;0,000;0,042;40;2018-11-28
149325094;011_307L_69.8;T;0,000;0,041;40;2018-11-28
149325095;012_311L_19.4;T;0,000;0,303;40;2018-11-28
149325096;012_311qV_19.4;T;0,000;0,032;40;2018-11-28
149325097;011_311L_69.8;T;0,000;0,205;40;2018-11-28
149324961;801_927R_300.8;T;0,000;0,387;40;2018-11-28
149324066;203_353V_41.9;T;1,012;3,476;130;2018-11-28
149324067;203_353V_41.9;T;3,476;5,287;120;2018-11-28
149324068;203_363AL_47.2;T;0,000;0,059;40;2018-11-28
149324069;203_363AR_47.2;T;0,000;0,166;120;2018-11-28
149324070;203_363BV_47.3;T;0,000;0,047;120;2018-11-28
149324071;203_365AL_47.3;T;0,000;0,203;120;2018-11-28
149324072;203_365AL_47.3;T;0,203;0,692;100;2018-11-28
149324073;203_365AR_47.3;T;0,000;0,060;40;2018-11-28
149324074;203_365BV_47.4;T;0,000;0,143;120;2018-11-28
149324075;203_365BV_47.4;T;0,143;0,631;100;2018-11-28
149324207;550_41BqV_25.3;T;0,000;0,034;40;2018-11-28
149324208;501_43L_80.3;T;0,000;0,034;40;2018-11-28
149324538;501_949L_80.6;T;0,000;0,167;40;2018-11-28
149324539;501_949R_80.6;T;0,000;0,214;40;2018-11-28
149324540;501_951L_80.4;T;0,000;0,164;40;2018-11-28
149324487;501_921L_80.4;T;0,000;0,223;40;2018-11-28
149324488;501_921R_80.4;T;0,000;0,036;40;2018-11-28
149324489;501_922L_80.4;T;0,000;0,153;40;2018-11-28
149324490;501_922R_80.4;T;0,000;0,064;40;2018-11-28
149324491;501_923V_80.5;T;0,000;0,095;40;2018-11-28
149324492;550_926R_25.7;T;0,000;0,192;40;2018-11-28
149324493;550_926V_25.7;T;0,000;0,167;40;2018-11-28
149324494;501_926V_80.6;T;0,000;0,046;40;2018-11-28
149324495;501_927L_80.6;T;0,000;0,210;40;2018-11-28
149324496;501_927V_80.6;T;0,000;0,025;40;2018-11-28
149324497;501_928L_80.6;T;0,000;0,036;40;2018-11-28
149324498;501_928V_80.6;T;0,000;0,026;40;2018-11-28
149324501;501_931V_80.3;T;0,000;0,200;40;2018-11-28
149324502;501_932AL_80.4;T;0,000;0,050;40;2018-11-28
149324503;501_932AR_80.4;T;0,000;0,141;40;2018-11-28
149324504;501_932AqV_80.4;T;0,000;0,031;40;2018-11-28
149324505;501_932BL_80.4;T;0,000;0,132;40;2018-11-28
149324506;501_932BR_80.4;T;0,000;0,132;40;2018-11-28
149324507;501_933R_80.4;T;0,000;0,182;40;2018-11-28
149324508;501_933V_80.4;T;0,000;0,072;40;2018-11-28
149324509;550_935L_25.7;T;0,000;0,218;40;2018-11-28
149324510;550_935R_25.7;T;0,000;0,066;40;2018-11-28
149324076;203_367V_48.0;T;0,000;0,465;100;2018-11-28
149324077;203_367V_48.0;T;0,465;0,521;120;2018-11-28
149324904;161_2705R_35.4;T;0,000;0,106;80;2018-11-28
149324962;801_928L_300.9;T;0,000;0,099;40;2018-11-28
149324963;801_928R_300.9;T;0,000;0,138;40;2018-11-28
149324965;801_930L_301.2;T;0,000;0,685;40;2018-11-28
149324966;801_930R_301.2;T;0,000;0,685;40;2018-11-28
149324967;801_931V_301.9;T;0,000;0,205;40;2018-11-28
149324254;005_77R_114.3;T;0,000;0,663;40;2018-11-28
149324255;501_77AL_80.4;T;0,000;0,064;40;2018-11-28
149324256;501_77BV_80.5;T;0,000;0,213;40;2018-11-28
149324257;550_83AL_25.6;T;0,000;0,262;40;2018-11-28
149324258;550_83AR_25.6;T;0,000;0,053;40;2018-11-28
149324259;550_83BpV_25.7;T;0,000;0,034;40;2018-11-28
149324260;550_85AL_25.7;T;0,000;0,207;40;2018-11-28
149324261;550_85AR_25.7;T;0,000;0,041;40;2018-11-28
149324262;550_85BpV_25.7;T;0,000;0,034;40;2018-11-28
149324263;550_87AL_25.7;T;0,000;0,125;40;2018-11-28
149324264;550_87AR_25.7;T;0,000;0,062;40;2018-11-28
149324265;550_87BV_25.8;T;0,000;0,035;40;2018-11-28
149324266;550_89L_25.7;T;0,000;0,216;40;2018-11-28
149324267;550_89V_25.7;T;0,000;0,026;40;2018-11-28
149324268;550_91L_25.8;T;0,000;0,041;40;2018-11-28
149324269;005_93V_115.0;T;0,000;0,041;40;2018-11-28
149324511;550_935V_25.7;T;0,000;0,071;40;2018-11-28
149324591;001_1145R_15.3;T;0,000;0,299;40;2018-11-28
149324180;501_33L_80.2;T;0,000;0,188;40;2018-11-28
149325132;012_375AR_34.1;T;0,222;14,411;140;2018-11-28
149325133;012_375AR_34.1;T;14,411;14,583;140;2018-11-28
149325134;012_375BV_34.2;T;0,000;0,149;140;2018-11-28
149325135;012_375BV_34.2;T;0,149;14,313;140;2018-11-28
149325136;012_375BV_34.2;T;14,313;14,410;140;2018-11-28
149325137;654_391L_48.5;T;0,000;0,337;140;2018-11-28
149325138;654_391R_48.5;T;0,000;0,110;80;2018-11-28
149325139;654_393V_48.6;T;0,000;0,117;140;2018-11-28
149325140;654_397L_48.8;T;0,000;0,110;80;2018-11-28
149325141;654_397R_48.8;T;0,000;0,066;140;2018-11-28
149325142;654_397R_48.8;T;0,066;0,886;80;2018-11-28
149325143;654_399V_48.9;T;0,000;0,174;140;2018-11-28
149324132;004_3AV_101.8;T;0,223;15,247;100;2018-11-28
149324133;004_3BL_101.8;T;0,000;0,108;100;2018-11-28
149324938;817_683V_701.4;T;0,000;5,048;40;2018-11-28
149324939;802_800L_100.6;T;0,000;0,028;40;2018-11-28
149324940;802_800R_100.6;T;0,000;0,119;40;2018-11-28
149325178;011_806L_68.2;T;0,000;0,479;>=40;2018-11-28
149325179;011_806R_68.2;T;0,000;0,042;>=40;2018-11-28
149325144;654_399V_48.9;T;0,174;0,418;80;2018-11-28
149324541;501_951R_80.4;T;0,000;0,167;40;2018-11-28
149324542;501_951V_80.4;T;0,000;0,030;40;2018-11-28
149324543;550_954L_25.0;T;0,000;0,323;40;2018-11-28
149324544;550_954R_25.0;T;0,000;0,274;40;2018-11-28
149324545;550_954V_25.0;T;0,000;0,056;40;2018-11-28
149324546;550_955R_25.1;T;0,000;0,296;40;2018-11-28
149324547;550_955V_25.1;T;0,000;0,093;40;2018-11-28
149324548;550_957AL_25.2;T;0,000;0,048;40;2018-11-28
149324549;550_957ApV_25.2;T;0,000;0,034;40;2018-11-28
149324550;550_957BR_25.2;T;0,000;0,019;40;2018-11-28
149324551;501_959V_81.4;T;0,000;0,076;40;2018-11-28
149324552;550_962L_25.2;T;0,000;0,330;40;2018-11-28
149324553;550_962R_25.2;T;0,000;0,060;40;2018-11-28
149324554;550_963L_25.3;T;0,000;0,406;40;2018-11-28
149324555;550_963R_25.3;T;0,000;0,045;40;2018-11-28
149324556;550_967L_25.3;T;0,000;0,277;40;2018-11-28
149324557;550_967R_25.3;T;0,000;0,034;40;2018-11-28
149324558;550_968L_25.4;T;0,000;0,237;40;2018-11-28
149324559;550_968R_25.4;T;0,000;0,032;40;2018-11-28
149324560;550_969L_25.4;T;0,000;0,110;40;2018-11-28
149324561;550_969R_25.4;T;0,000;0,032;40;2018-11-28
149324562;550_970L_25.4;T;0,000;0,140;40;2018-11-28
149324563;550_970R_25.4;T;0,000;0,085;40;2018-11-28
149324104;203_433L_66.1;T;0,044;0,690;60;2018-11-28
149324105;203_433R_66.1;T;0,000;0,044;40;2018-11-28
149324592;001_1145R_15.3;T;0,299;0,537;80;2018-11-28
149324444;002_393V_69.0;T;0,000;6,416;100;2018-11-28
149324445;002_405L_75.4;T;0,000;0,083;60;2018-11-28
149324446;002_405L_75.4;T;0,083;0,208;100;2018-11-28
149324447;002_405L_75.4;T;0,208;1,370;100;2018-11-28
149324448;002_405R_75.4;T;0,000;1,370;100;2018-11-28
149324449;653_905R_102.1;T;0,000;0,029;40;2018-11-28
149324450;653_905V_102.1;T;0,000;0,082;40;2018-11-28
149324451;550_906L_25.6;T;0,000;0,038;40;2018-11-28
149324452;550_906R_25.6;T;0,000;0,210;>=40;2018-11-28
149324453;550_906V_25.6;T;0,000;0,110;40;2018-11-28
149324454;550_907L_25.7;T;0,000;0,027;40;2018-11-28
149324455;550_907R_25.7;T;0,000;0,209;>=40;2018-11-28
149324456;550_908L_25.7;T;0,000;0,138;40;2018-11-28
