SPOORTAK_IDENTIFICATIE;TRAJECT;TRJ_VAN;TRJ_NAAR;SPOORLIJNNAAM;N_SP_VAN;N_SP_NAAR;RICHTING_IN_SPOORLIJN;SPOORLIJN_VAN;SPOORLIJN_TOT;SPOORTAK_VAN;SPOORTAK_TOT;BEGIN_TRJ;EIND_TRJ;BEGIN_WISSEL_TRJ
520_1004L_36.7;;;;;;;;;;;;;;
666_4223R_47.6;;;;;;;;;;;;;;
124_203V_3.6;;;;;;;;;;;;;;
504_29BV_17.5;;;;;;;;;;;;;;
478_1131V_0.8;;;;;;;;;;;;;;
517_37BR_69.1;;;;;;;;;;;;;;
520_151BV_0.8;;;;;;;;;;;;;;
586_87AR_80.5;;;;;;;;;;;;;;
504_53BpV_18.2;;;;;;;;;;;;;;
501_19BpV_80.2;;;;;;;;;;;;;;
470_961L_400.2;;;;;;;;;;;;;;
119_231AL_17.6;;;;;;;;;;;;;;
517_189AR_0.1;;;;;;;;;;;;;;
133_1181BpV_20.1;;;;;;;;;;;;;;
564_219AL_100.6;;;;;;;;;;;;;;
626_3BV_31.8;;;;;;;;;;;;;;
522_219BV_58.3;;;;;;;;;;;;;;
520_821R_0.9;;;;;;;;;;;;;;
081_975L_74.5;;;;;;;;;;;;;;
543_143L_44.9;;;;;;;;;;;;;;
586_297AL_81.3;;;;;;;;;;;;;;
606_43BV_37.6;;;;;;;;;;;;;;
527_71AR_17.0;;;;;;;;;;;;;;
586_273L_81.2;;;;;;;;;;;;;;
950_918R_6.5;;;;;;;;;;;;;;
603_183AR_4.0;;;;;;;;;;;;;;
127_443AR_67.7;;;;;;;;;;;;;;
586_2549R_80.3;;;;;;;;;;;;;;
528_31R_28.6;;;;;;;;;;;;;;
555_231V_83.5;;;;;;;;;;;;;;
527_69L_17.0;;;;;;;;;;;;;;
520_145BqV_0.8;;;;;;;;;;;;;;
564_968pV_23.7;;;;;;;;;;;;;;
531_2667V_34.8;;;;;;;;;;;;;;
950_223L_7.6;;;;;;;;;;;;;;
478_1023BL_0.2;;;;;;;;;;;;;;
508_2013R_90.3;;;;;;;;;;;;;;
516_283V_2.3;;;;;;;;;;;;;;
519_5V_45.9;;;;;;;;;;;;;;
817_75V_206.6;;;;;;;;;;;;;;
823_22R_6.3;;;;;;;;;;;;;;
922_924R_18.0;;;;;;;;;;;;;;
817_1259BL_200.3;;;;;;;;;;;;;;
100_2105BL_7.8;;;;;;;;;;;;;;
039_5109V_107.9;;;;;;;;;;;;;;
518_131R_63.6;;;;;;;;;;;;;;
603_143pV_3.3;;;;;;;;;;;;;;
501_11V_79.8;;;;;;;;;;;;;;
518_157R_63.5;;;;;;;;;;;;;;
518_157L_63.5;;;;;;;;;;;;;;
518_155R_63.5;;;;;;;;;;;;;;
603_101BV_2.9;;;;;;;;;;;;;;
039_5151L_109.7;;;;;;;;;;;;;;
518_197V_64.8;;;;;;;;;;;;;;
603_101BL_2.9;;;;;;;;;;;;;;
926_31R_1.7;;;;;;;;;;;;;;
603_101AR_2.9;;;;;;;;;;;;;;
133_1129AL_19.1;;;;;;;;;;;;;;
517_181L_0.1;;;;;;;;;;;;;;
476_1V_201.8;;;;;;;;;;;;;;
536_327BL_62.0;;;;;;;;;;;;;;
664_141BqV_43.2;;;;;;;;;;;;;;
924_3599AL_35.8;;;;;;;;;;;;;;
133_1067AL_13.9;;;;;;;;;;;;;;
011_13L_67.9;;;;;;;;;;;;;;
924_42-43R_35.3;;;;;;;;;;;;;;
501_932BR_80.4;;;;;;;;;;;;;;
490_106L_105.0;;;;;;;;;;;;;;
542_1235BV_29.8;;;;;;;;;;;;;;
802_801R_100.6;;;;;;;;;;;;;;
163_953AR_43.9;;;;;;;;;;;;;;
054_1005AR_57.3;;;;;;;;;;;;;;
536_221AR_60.5;;;;;;;;;;;;;;
504_55AL_18.2;;;;;;;;;;;;;;
163_1027AqV_43.9;;;;;;;;;;;;;;
520_145BpV_0.8;;;;;;;;;;;;;;
618_67R_51.5;;;;;;;;;;;;;;
534_1021AR_45.0;;;;;;;;;;;;;;
586_83AL_80.4;;;;;;;;;;;;;;
100_2105AR_7.7;;;;;;;;;;;;;;
560_43BL_24.9;;;;;;;;;;;;;;
608_53AR_88.5;;;;;;;;;;;;;;
564_427AL_23.5;;;;;;;;;;;;;;
105_445AV_28.9;;;;;;;;;;;;;;
514_913L_18.0;;;;;;;;;;;;;;
608_65AR_88.8;;;;;;;;;;;;;;
087_75BR_24.8;;;;;;;;;;;;;;
527_73L_17.1;;;;;;;;;;;;;;
555_231R_83.5;;;;;;;;;;;;;;
924_3781BqV_37.1;;;;;;;;;;;;;;
950_203L_11.7;;;;;;;;;;;;;;
588_813ApV_1.9;;;;;;;;;;;;;;
950_63L_40.9;;;;;;;;;;;;;;
035_127L_48.0;;;;;;;;;;;;;;
518_117qV_63.5;;;;;;;;;;;;;;
518_115R_63.4;;;;;;;;;;;;;;
531_2425R_1.8;;;;;;;;;;;;;;
531_501R_35.6;;;;;;;;;;;;;;
057_87V_20.0;;;;;;;;;;;;;;
200_221V_24.0;;;;;;;;;;;;;;
603_89L_2.6;;;;;;;;;;;;;;
518_117pV_63.5;;;;;;;;;;;;;;
035_125V_48.0;;;;;;;;;;;;;;
039_5155L_109.7;;;;;;;;;;;;;;
534_1005BR_44.6;;;;;;;;;;;;;;
927_947R_905.8;;;;;;;;;;;;;;
801_901L_7.6;;;;;;;;;;;;;;
586_143BqV_80.8;;;;;;;;;;;;;;
128_29BV_12.7;;;;;;;;;;;;;;
553_915R_21.5;;;;;;;;;;;;;;
586_2541AR_80.3;;;;;;;;;;;;;;
603_1032V_4.1;;;;;;;;;;;;;;
478_1259AqV_1.7;;;;;;;;;;;;;;
585_1163AL_8.3;;;;;;;;;;;;;;
924_343L_36.0;;;;;;;;;;;;;;
470_1112R_302.7;;;;;;;;;;;;;;
502_253R_100.5;;;;;;;;;;;;;;
478_1191R_0.7;;;;;;;;;;;;;;
545_907L_21.9;;;;;;;;;;;;;;
124_201L_3.6;;;;;;;;;;;;;;
564_1345V_23.7;;;;;;;;;;;;;;
924_3311R_34.3;;;;;;;;;;;;;;
163_1029ApV_43.9;;;;;;;;;;;;;;
054_1369AR_54.0;;;;;;;;;;;;;;
927_45L_904.7;;;;;;;;;;;;;;
508_863V_91.1;;;;;;;;;;;;;;
927_33L_904.5;;;;;;;;;;;;;;
560_21BpV_25.0;;;;;;;;;;;;;;
950_642V_7.1;;;;;;;;;;;;;;
557_92R_28.0;;;;;;;;;;;;;;
011_820V_68.7;;;;;;;;;;;;;;
924_353AL_36.2;;;;;;;;;;;;;;
542_1165R_29.1;;;;;;;;;;;;;;
076_1657pV_12.3;;;;;;;;;;;;;;
924_21-22L_35.3;;;;;;;;;;;;;;
525_483R_79.0;;;;;;;;;;;;;;
950_901R_16.6;;;;;;;;;;;;;;
618_19R_58.7;;;;;;;;;;;;;;
927_43L_904.6;;;;;;;;;;;;;;
626_3AL_31.7;;;;;;;;;;;;;;
516_941ApV_75.1;;;;;;;;;;;;;;
054_1351BL_53.4;;;;;;;;;;;;;;
057_57L_12.3;;;;;;;;;;;;;;
209_1V_15.9;;;;;;;;;;;;;;
133_1167V_19.9;;;;;;;;;;;;;;
518_163L_63.6;;;;;;;;;;;;;;
035_109R_46.7;;;;;;;;;;;;;;
518_183qV_64.6;;;;;;;;;;;;;;
501_15L_80.0;;;;;;;;;;;;;;
100_2101BL_7.8;;;;;;;;;;;;;;
531_2347L_34.3;;;;;;;;;;;;;;
938_4633V_3.6;;;;;;;;;;;;;;
603_918L_3.2;;;;;;;;;;;;;;
666_4213L_47.3;;;;;;;;;;;;;;
506_141AR_44.0;;;;;;;;;;;;;;
054_1369AL_54.0;;;;;;;;;;;;;;
514_49AR_65.2;;;;;;;;;;;;;;
502_271AL_101.0;;;;;;;;;;;;;;
486_93L_203.8;;;;;;;;;;;;;;
478_1167L_0.8;;;;;;;;;;;;;;
506_131AL_44.0;;;;;;;;;;;;;;
539_45BqV_79.3;;;;;;;;;;;;;;
555_263BpV_83.5;;;;;;;;;;;;;;
143_903R_17.5;;;;;;;;;;;;;;
553_215BpV_21.2;;;;;;;;;;;;;;
564_1367R_23.8;;;;;;;;;;;;;;
054_1373AR_54.1;;;;;;;;;;;;;;
801_926R_300.6;;;;;;;;;;;;;;
564_1321L_23.6;;;;;;;;;;;;;;
950_825V_10.8;;;;;;;;;;;;;;
586_2539BqV_80.4;;;;;;;;;;;;;;
131_11L_17.3;;;;;;;;;;;;;;
950_239L_12.6;;;;;;;;;;;;;;
924_27-30V_35.3;;;;;;;;;;;;;;
486_806V_77.1;;;;;;;;;;;;;;
950_913R_17.1;;;;;;;;;;;;;;
950_233BqV_12.6;;;;;;;;;;;;;;
120_41AL_15.3;;;;;;;;;;;;;;
586_2569AL_80.7;;;;;;;;;;;;;;
508_2055L_91.2;;;;;;;;;;;;;;
817_1231R_115.1;;;;;;;;;;;;;;
518_195V_64.9;;;;;;;;;;;;;;
514_57L_65.4;;;;;;;;;;;;;;
518_113V_63.3;;;;;;;;;;;;;;
100_2101AV_7.7;;;;;;;;;;;;;;
531_2413V_34.1;;;;;;;;;;;;;;
926_2011R_1.6;;;;;;;;;;;;;;
518_131L_63.6;;;;;;;;;;;;;;
531_501L_35.6;;;;;;;;;;;;;;
518_181V_64.5;;;;;;;;;;;;;;
531_515R_35.8;;;;;;;;;;;;;;
518_117L_63.5;;;;;;;;;;;;;;
817_1223L_115.1;;;;;;;;;;;;;;
950_95qV_41.6;;;;;;;;;;;;;;
550_107R_26.0;;;;;;;;;;;;;;
624_167AL_32.1;;;;;;;;;;;;;;
527_901L_17.1;;;;;;;;;;;;;;
950_207V_11.8;;;;;;;;;;;;;;
123_65BpV_20.0;;;;;;;;;;;;;;
479_2R_501.3;;;;;;;;;;;;;;
664_123BR_42.6;;;;;;;;;;;;;;
617_1109R_38.8;;;;;;;;;;;;;;
520_121pV_0.5;;;;;;;;;;;;;;
517_89AL_69.4;;;;;;;;;;;;;;
603_81BqV_2.5;;;;;;;;;;;;;;
516_273R_1.5;;;;;;;;;;;;;;
107_135AR_12.1;;;;;;;;;;;;;;
618_57BL_58.9;;;;;;;;;;;;;;
517_63qV_69.3;;;;;;;;;;;;;;
586_95pV_80.5;;;;;;;;;;;;;;
037_2163L_92.4;;;;;;;;;;;;;;
924_2353AL_35.6;;;;;;;;;;;;;;
545_107AR_22.6;;;;;;;;;;;;;;
530_113AL_12.3;;;;;;;;;;;;;;
560_63BpV_24.8;;;;;;;;;;;;;;
039_5103L_107.6;;;;;;;;;;;;;;
502_251BqV_100.5;;;;;;;;;;;;;;
474_3R_200.3;;;;;;;;;;;;;;
478_1329qV_2.0;;;;;;;;;;;;;;
524_253BL_70.4;;;;;;;;;;;;;;
543_165AR_45.1;;;;;;;;;;;;;;
522_233AL_58.4;;;;;;;;;;;;;;
516_941BL_75.1;;;;;;;;;;;;;;
506_39AR_43.2;;;;;;;;;;;;;;
618_25BqV_58.6;;;;;;;;;;;;;;
504_83V_18.7;;;;;;;;;;;;;;
486_920L_76.2;;;;;;;;;;;;;;
531_2421L_1.8;;;;;;;;;;;;;;
059_241L_80.7;;;;;;;;;;;;;;
035_109L_46.7;;;;;;;;;;;;;;
035_111V_46.9;;;;;;;;;;;;;;
057_57R_12.3;;;;;;;;;;;;;;
057_41R_11.2;;;;;;;;;;;;;;
531_2425L_1.8;;;;;;;;;;;;;;
534_1001BL_44.6;;;;;;;;;;;;;;
200_229L_26.1;;;;;;;;;;;;;;
129_6CR_29.2;;;;;;;;;;;;;;
607_77R_44.0;;;;;;;;;;;;;;
926_2010R_1.6;;;;;;;;;;;;;;
518_149V_64.3;;;;;;;;;;;;;;
950_411R_26.9;;;;;;;;;;;;;;
133_1159AL_19.3;;;;;;;;;;;;;;
516_916L_2.0;;;;;;;;;;;;;;
544_1077BV_0.3;;;;;;;;;;;;;;
817_1247pV_200.2;;;;;;;;;;;;;;
542_1263BqV_29.9;;;;;;;;;;;;;;
531_2761L_35.5;;;;;;;;;;;;;;
924_3605R_35.8;;;;;;;;;;;;;;
614_2141R_47.6;;;;;;;;;;;;;;
135_2245R_15.5;;;;;;;;;;;;;;
524_263BL_70.4;;;;;;;;;;;;;;
105_139AR_31.4;;;;;;;;;;;;;;
550_981L_25.5;;;;;;;;;;;;;;
555_179AL_83.1;;;;;;;;;;;;;;
624_147AR_31.7;;;;;;;;;;;;;;
553_277BV_21.9;;;;;;;;;;;;;;
588_801R_1.6;;;;;;;;;;;;;;
133_1165AR_19.8;;;;;;;;;;;;;;
625_267BpV_15.5;;;;;;;;;;;;;;
504_51AR_18.2;;;;;;;;;;;;;;
922_915L_18.0;;;;;;;;;;;;;;
823_18AR_5.0;;;;;;;;;;;;;;
531_883R_1.4;;;;;;;;;;;;;;
057_43R_11.2;;;;;;;;;;;;;;
059_265L_81.7;;;;;;;;;;;;;;
603_91L_2.6;;;;;;;;;;;;;;
603_3135L_3.1;;;;;;;;;;;;;;
518_163R_63.6;;;;;;;;;;;;;;
203_403V_55.6;;;;;;;;;;;;;;
518_185R_64.6;;;;;;;;;;;;;;
057_81R_19.7;;;;;;;;;;;;;;
518_119R_63.4;;;;;;;;;;;;;;
518_111V_63.3;;;;;;;;;;;;;;
518_119L_63.4;;;;;;;;;;;;;;
518_185L_64.6;;;;;;;;;;;;;;
518_159L_63.5;;;;;;;;;;;;;;
057_45L_11.4;;;;;;;;;;;;;;
950_225R_17.3;;;;;;;;;;;;;;
132_942R_49.1;;;;;;;;;;;;;;
610_147AqV_14.3;;;;;;;;;;;;;;
539_47AR_79.2;;;;;;;;;;;;;;
076_1641L_12.0;;;;;;;;;;;;;;
531_841R_1.4;;;;;;;;;;;;;;
924_2353AV_35.6;;;;;;;;;;;;;;
536_327AL_61.9;;;;;;;;;;;;;;
927_3071AR_905.4;;;;;;;;;;;;;;
586_111AR_80.5;;;;;;;;;;;;;;
544_1077BR_0.3;;;;;;;;;;;;;;
586_367AL_81.1;;;;;;;;;;;;;;
617_1151AR_39.3;;;;;;;;;;;;;;
508_817R_90.8;;;;;;;;;;;;;;
503_177qV_42.2;;;;;;;;;;;;;;
163_1039AL_44.3;;;;;;;;;;;;;;
124_211L_3.9;;;;;;;;;;;;;;
506_506L_43.0;;;;;;;;;;;;;;
606_904L_0.1;;;;;;;;;;;;;;
553_235AL_21.3;;;;;;;;;;;;;;
950_131L_7.1;;;;;;;;;;;;;;
006_1017AL_10.1;;;;;;;;;;;;;;
011_37ApV_68.7;;;;;;;;;;;;;;
011_821L_68.8;;;;;;;;;;;;;;
509_1147R_36.5;;;;;;;;;;;;;;
502_251BL_100.5;;;;;;;;;;;;;;
514_908pV_18.0;;;;;;;;;;;;;;
614_406R_48.2;;;;;;;;;;;;;;
802_800V_100.6;;;;;;;;;;;;;;
531_845L_1.5;;;;;;;;;;;;;;
814_951L_100.6;;;;;;;;;;;;;;
609_203L_28.5;;;;;;;;;;;;;;
012_361AR_33.3;;;;;;;;;;;;;;
478_1249V_1.6;;;;;;;;;;;;;;
613_183V_76.0;;;;;;;;;;;;;;
543_189R_45.5;;;;;;;;;;;;;;
543_215L_15.8;;;;;;;;;;;;;;
555_297R_83.7;;;;;;;;;;;;;;
550_87BV_25.8;;;;;;;;;;;;;;
504_41V_18.1;;;;;;;;;;;;;;
927_956R_905.8;;;;;;;;;;;;;;
618_57BpV_58.9;;;;;;;;;;;;;;
518_165L_63.7;;;;;;;;;;;;;;
057_41L_11.2;;;;;;;;;;;;;;
035_129V_48.1;;;;;;;;;;;;;;
518_193R_64.7;;;;;;;;;;;;;;
518_135L_63.7;;;;;;;;;;;;;;
057_43V_11.2;;;;;;;;;;;;;;
603_141L_3.3;;;;;;;;;;;;;;
035_111L_46.9;;;;;;;;;;;;;;
950_655R_7.1;;;;;;;;;;;;;;
518_155L_63.5;;;;;;;;;;;;;;
603_141V_3.3;;;;;;;;;;;;;;
501_17V_80.0;;;;;;;;;;;;;;
039_5105V_107.8;;;;;;;;;;;;;;
468_50V_100.6;;;;;;;;;;;;;;
057_45R_11.4;;;;;;;;;;;;;;
057_81L_19.7;;;;;;;;;;;;;;
924_3757L_36.9;;;;;;;;;;;;;;
478_1229pV_1.8;;;;;;;;;;;;;;
490_143L_5.1;;;;;;;;;;;;;;
506_613V_43.9;;;;;;;;;;;;;;
927_953AL_905.7;;;;;;;;;;;;;;
163_963AR_44.5;;;;;;;;;;;;;;
527_912L_500.8;;;;;;;;;;;;;;
084_29AL_15.1;;;;;;;;;;;;;;
664_133R_42.9;;;;;;;;;;;;;;
508_2111R_91.6;;;;;;;;;;;;;;
555_337AR_84.1;;;;;;;;;;;;;;
073_1103AL_0.7;;;;;;;;;;;;;;
950_341qV_17.4;;;;;;;;;;;;;;
084_7AL_9.4;;;;;;;;;;;;;;
626_5V_32.5;;;;;;;;;;;;;;
467_018L_101.8;;;;;;;;;;;;;;
618_867L_50.5;;;;;;;;;;;;;;
103_601R_18.3;;;;;;;;;;;;;;
614_2131R_47.6;;;;;;;;;;;;;;
550_41BpV_25.3;;;;;;;;;;;;;;
614_2231V_48.5;;;;;;;;;;;;;;
924_12-18R_35.4;;;;;;;;;;;;;;
155_4455R_88.3;;;;;;;;;;;;;;
163_979L_44.6;;;;;;;;;;;;;;
501_913AR_80.4;;;;;;;;;;;;;;
011_82L_69.1;;;;;;;;;;;;;;
624_225AL_32.8;;;;;;;;;;;;;;
817_40R_119.3;;;;;;;;;;;;;;
801_957AqV_7.8;;;;;;;;;;;;;;
927_3051BpV_905.4;;;;;;;;;;;;;;
527_45BV_16.7;;;;;;;;;;;;;;
614_2109R_47.3;;;;;;;;;;;;;;
950_111R_6.9;;;;;;;;;;;;;;
474_5L_200.5;;;;;;;;;;;;;;
513_61AL_25.3;;;;;;;;;;;;;;
514_55BL_65.4;;;;;;;;;;;;;;
133_1083AR_15.1;;;;;;;;;;;;;;
603_922V_3.0;;;;;;;;;;;;;;
950_630V_6.2;;;;;;;;;;;;;;
522_149BpV_57.4;;;;;;;;;;;;;;
475_3L_100.9;;;;;;;;;;;;;;
603_131V_3.2;;;;;;;;;;;;;;
002_405R_75.4;;;;;;;;;;;;;;
129_6CL_29.2;;;;;;;;;;;;;;
518_189V_64.7;;;;;;;;;;;;;;
501_15V_80.0;;;;;;;;;;;;;;
035_109V_46.7;;;;;;;;;;;;;;
926_33R_1.7;;;;;;;;;;;;;;
200_229R_26.1;;;;;;;;;;;;;;
950_914R_7.2;;;;;;;;;;;;;;
533_1115AL_15.2;;;;;;;;;;;;;;
501_123AL_80.8;;;;;;;;;;;;;;
133_1087AL_15.0;;;;;;;;;;;;;;
555_195V_83.2;;;;;;;;;;;;;;
803_40R_102.7;;;;;;;;;;;;;;
011_61AL_68.9;;;;;;;;;;;;;;
940_381R_43.1;;;;;;;;;;;;;;
478_1169V_0.8;;;;;;;;;;;;;;
614_2209V_48.4;;;;;;;;;;;;;;
614_22L_47.3;;;;;;;;;;;;;;
514_943R_18.1;;;;;;;;;;;;;;
135_2005L_39.6;;;;;;;;;;;;;;
166_2199R_144.4;;;;;;;;;;;;;;
555_371V_84.3;;;;;;;;;;;;;;
478_1287L_1.9;;;;;;;;;;;;;;
924_3517V_35.2;;;;;;;;;;;;;;
519_27BL_46.2;;;;;;;;;;;;;;
011_81L_69.1;;;;;;;;;;;;;;
927_992V_906.4;;;;;;;;;;;;;;
586_2525BL_80.3;;;;;;;;;;;;;;
857_15L_1.3;;;;;;;;;;;;;;
520_51L_0.0;;;;;;;;;;;;;;
508_2101R_91.4;;;;;;;;;;;;;;
506_241V_45.1;;;;;;;;;;;;;;
536_247BV_60.8;;;;;;;;;;;;;;
135_906R_45.1;;;;;;;;;;;;;;
528_9R_28.1;;;;;;;;;;;;;;
817_1233R_115.1;;;;;;;;;;;;;;
625_293L_16.0;;;;;;;;;;;;;;
536_251AR_61.0;;;;;;;;;;;;;;
613_907ApV_76.0;;;;;;;;;;;;;;
801_916L_800.3;;;;;;;;;;;;;;
105_141AR_31.5;;;;;;;;;;;;;;
817_935R_114.3;;;;;;;;;;;;;;
503_101BL_43.6;;;;;;;;;;;;;;
924_1753V_35.6;;;;;;;;;;;;;;
533_1117AL_15.3;;;;;;;;;;;;;;
528_119R_28.7;;;;;;;;;;;;;;
504_67R_18.3;;;;;;;;;;;;;;
534_1097V_46.1;;;;;;;;;;;;;;
588_828L_1.8;;;;;;;;;;;;;;
514_962L_17.1;;;;;;;;;;;;;;
550_969L_25.4;;;;;;;;;;;;;;
121_2349R_233.0;;;;;;;;;;;;;;
527_932R_0.6;;;;;;;;;;;;;;
057_85R_19.9;;;;;;;;;;;;;;
603_141R_3.3;;;;;;;;;;;;;;
518_161R_63.5;;;;;;;;;;;;;;
518_161L_63.5;;;;;;;;;;;;;;
553_303V_22.3;;;;;;;;;;;;;;
603_129V_3.3;;;;;;;;;;;;;;
518_107R_63.2;;;;;;;;;;;;;;
518_183pV_64.6;;;;;;;;;;;;;;
039_5149R_109.9;;;;;;;;;;;;;;
609_61AR_28.1;;;;;;;;;;;;;;
506_161AL_44.2;;;;;;;;;;;;;;
135_913V_45.7;;;;;;;;;;;;;;
586_2503AR_80.2;;;;;;;;;;;;;;
620_5R_41.6;;;;;;;;;;;;;;
603_1003L_3.6;;;;;;;;;;;;;;
560_79L_24.7;;;;;;;;;;;;;;
927_3077BqV_905.5;;;;;;;;;;;;;;
927_994V_906.6;;;;;;;;;;;;;;
924_2329BV_35.0;;;;;;;;;;;;;;
470_80L_202.0;;;;;;;;;;;;;;
831_913R_200.8;;;;;;;;;;;;;;
603_915R_3.3;;;;;;;;;;;;;;
542_1247AR_29.8;;;;;;;;;;;;;;
519_31L_46.2;;;;;;;;;;;;;;
534_1011BV_44.7;;;;;;;;;;;;;;
520_49AR_28.4;;;;;;;;;;;;;;
552_253L_83.1;;;;;;;;;;;;;;
618_49AR_58.6;;;;;;;;;;;;;;
107_271AL_1.7;;;;;;;;;;;;;;
506_157BV_44.3;;;;;;;;;;;;;;
525_990V_77.9;;;;;;;;;;;;;;
508_2011R_90.2;;;;;;;;;;;;;;
831_903V_102.4;;;;;;;;;;;;;;
586_61BqV_80.4;;;;;;;;;;;;;;
900_25L_200.7;;;;;;;;;;;;;;
603_1006V_3.5;;;;;;;;;;;;;;
924_341AL_36.0;;;;;;;;;;;;;;
614_2233R_48.5;;;;;;;;;;;;;;
478_1189L_0.7;;;;;;;;;;;;;;
203_1103R_52.6;;;;;;;;;;;;;;
012_341AR_24.1;;;;;;;;;;;;;;
506_41AL_43.2;;;;;;;;;;;;;;
553_325AL_22.6;;;;;;;;;;;;;;
135_916AL_45.8;;;;;;;;;;;;;;
603_143qV_3.3;;;;;;;;;;;;;;
039_5135V_109.7;;;;;;;;;;;;;;
518_109R_63.2;;;;;;;;;;;;;;
926_31L_1.7;;;;;;;;;;;;;;
518_187V_64.6;;;;;;;;;;;;;;
603_151BL_3.4;;;;;;;;;;;;;;
059_243V_80.8;;;;;;;;;;;;;;
518_193L_64.7;;;;;;;;;;;;;;
100_2105AV_7.7;;;;;;;;;;;;;;
814_970R_201.6;;;;;;;;;;;;;;
802_801L_100.6;;;;;;;;;;;;;;
105_471AL_29.3;;;;;;;;;;;;;;
618_101BV_51.1;;;;;;;;;;;;;;
542_1291AL_30.1;;;;;;;;;;;;;;
542_1171BqV_29.2;;;;;;;;;;;;;;
131_1R_16.4;;;;;;;;;;;;;;
469_901R_100.7;;;;;;;;;;;;;;
517_41AL_69.0;;;;;;;;;;;;;;
524_293BV_71.5;;;;;;;;;;;;;;
506_203BqV_44.6;;;;;;;;;;;;;;
525_969L_78.5;;;;;;;;;;;;;;
603_920V_3.1;;;;;;;;;;;;;;
019_951V_36.3;;;;;;;;;;;;;;
506_119BV_44.2;;;;;;;;;;;;;;
924_17-18L_35.3;;;;;;;;;;;;;;
122_1001AL_21.4;;;;;;;;;;;;;;
503_109BV_43.6;;;;;;;;;;;;;;
069_8001R_21.9;;;;;;;;;;;;;;
135_914AqV_45.7;;;;;;;;;;;;;;
486_70V_202.4;;;;;;;;;;;;;;
950_1952R_26.7;;;;;;;;;;;;;;
938_4535L_1.3;;;;;;;;;;;;;;
514_953R_17.4;;;;;;;;;;;;;;
127_395BR_48.7;;;;;;;;;;;;;;
527_121R_17.4;;;;;;;;;;;;;;
564_1315pV_23.5;;;;;;;;;;;;;;
531_2711qV_35.5;;;;;;;;;;;;;;
114_411AR_53.8;;;;;;;;;;;;;;
478_1195V_0.8;;;;;;;;;;;;;;
518_125L_63.6;;;;;;;;;;;;;;
553_311AR_22.3;;;;;;;;;;;;;;
534_1007AR_44.6;;;;;;;;;;;;;;
011_11R_67.9;;;;;;;;;;;;;;
163_975L_44.6;;;;;;;;;;;;;;
502_277V_101.1;;;;;;;;;;;;;;
924_2367AL_36.5;;;;;;;;;;;;;;
028_1031R_53.0;;;;;;;;;;;;;;
508_2089L_91.3;;;;;;;;;;;;;;
552_255qV_83.2;;;;;;;;;;;;;;
617_1157AL_39.4;;;;;;;;;;;;;;
831_915R_201.0;;;;;;;;;;;;;;
163_1013AL_43.4;;;;;;;;;;;;;;
501_933R_80.4;;;;;;;;;;;;;;
517_77AL_69.4;;;;;;;;;;;;;;
508_859qV_91.1;;;;;;;;;;;;;;
009_21AV_114.7;;;;;;;;;;;;;;
478_1581R_2.0;;;;;;;;;;;;;;
625_337AL_14.9;;;;;;;;;;;;;;
