GEOCODE;GEOSUBCODE;GEOCODE_NR;NAAM;VERKORTING;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
817;817_f;817;Vlissingen Sloehaven;Sloe;20230424;C;21
563;563__;563;Den Haag Mariahoeve;Gvm;20230424;C;21
666;666_a;666;Meteren Aansl.;Mtna;20230424;C;21
067;067__;67;Heerlen - Schin op Geul;Hrl-Sog;20230424;C;21
815;815_b;815;Roodeschool Eemshaven;Rde;20230424;C;21
818;818_f;818;Terneuzen Dow Chemical;Trzdow;20230424;C;21
547;547_c;547;Lunetten Aansl.;Utln;20230424;C;21
531;531_c;531;Utrecht Centraal;Ut;20230424;C;21
035;035__;35;Lunetten - De Haar Aansl.;Ln-Har;20230424;C;21
664;664_a;664;Rotterdam Lombardijen;Rlb;20230424;C;21
211;211__;211;Barneveld Noord - Ede=Wageningen;Bnn-Ed;20230424;C;21
057;057__;57;Eindhoven - Weert;Ehv-Wt;20230424;C;21
305;305__;305;Stadskanaal Hoofdstation - Zuidbroek;Skn-Zb;20230424;C;21
619;619__;619;Heerhugowaard;Hwd;20230424;C;21
558;558_a;558;Amsterdam Riekerpolder;Asra;20230424;C;21
508;508__;508;Arnhem;Ah;20230424;C;21
515;515_a;515;Vught Aansl.;Vga;20230424;C;21
119;119_b;119;Lage Zwaluwe - Dordrecht;Zlw-Ddr;20230424;C;21
776;776__;776;Laarwald (D) - Coevorden Grens;Lar-Cog;20230424;C;21
108;108__;108;De Haar Aansl. - Ede=Wageningen;Har-Ed;20230424;C;21
030;030__;30;Zutphen - Deventer;Zp-Dv;20230424;C;21
155;155_b;155;Meteren Aansl. - Ressen = Bemmel;Mtna-Rsb;20230424;C;21
818;818_d;818;Terneuzen Dow Chemical;Trzdow;20230424;C;21
474;474_b;474;Rotterdam Europoort 1;Re1;20230424;C;21
557;557_a;557;Terneuzen Aansl.;Tnza;20230424;C;21
165;165__;165;Kijfhoek - Moerdijkbrug;Kfh-Mdbr;20230424;C;21
518;518__;518;Weert;Wt;20230424;C;21
130;130_a;130;Axel Aansl. - Terneuzen Aansl.;Axa-Tnza;20230424;C;21
209;209__;209;Dieren - Apeldoorn;Dr-Apd;20230424;C;21
061;061__;61;Roermond - Vlodrop Grens;Rm-Vdpg;20230424;C;21
663;663_b;663;Rotterdam Barendrecht;Brd;20230424;C;21
517;517_b;517;Venlo;Vl;20230424;C;21
228;228__;228;Lage Zwaluwe - s Hertogenbosch;Zlw-Ht;20230424;C;21
040;040__;40;Leusden - Amersfoort;Lsd-Amf;20230424;C;21
123;123__;123;Breda - Tilburg;Bd-Tb;20230424;C;21
751;751__;751;Mariënberg;Mrb;20230424;C;21
801;801_e;801;Moerdijk Industrieterrein;Mdki;20230424;C;21
001;001_b;1;Harlingen Haven - Leeuwarden;Hlgh-Lw;20230424;C;21
790;790__;790;Gent (B) - Zelzate (B);Fgsp-Fsz;20230424;C;21
587;587_b;587;Diemen;Dmn;20230424;C;21
844;844_a;844;Emmen Emmtec;Emnak;20230424;C;21
803;803_n;803;Delfzijl Stamlijn Havenschap;Dzsh;20230424;C;21
803;803_k;803;Delfzijl Stamlijn Havenschap;Dzsh;20230424;C;21
803;803_l;803;Delfzijl Stamlijn Havenschap;Dzsh;20230424;C;21
803;803_f;803;Delfzijl Stamlijn Havenschap;Dzsh;20230424;C;21
803;803_g;803;Delfzijl Stamlijn Havenschap;Dzsh;20230424;C;21
803;803_i;803;Delfzijl Stamlijn Havenschap;Dzsh;20230424;C;21
803;803_a;803;Delfzijl Stamlijn Havenschap;Dzsh;20230424;C;21
803;803_e;803;Delfzijl Stamlijn Havenschap;Dzsh;20230424;C;21
541;541_b;541;Weesp Aansl.;Wpa;20230424;C;21
531;531_d;531;Utrecht Centraal;Ut;20230424;C;21
117;117__;117;Lunetten - Geldermalsen;Ln-Gdm;20230424;C;21
538;538__;538;Rotterdam Kleiweg;Rtkw;20230424;C;21
152;152_b;152;Kijfhoek - Meteren Aansl.;Kfh-Mtna;20230424;C;21
131;131__;131;Sas van Gent Grens - Terneuzen Aansl.;Svgg-Tnza;20230424;C;21
512;512_d;512;Ressen = Bemmel;Rsb;20230424;C;21
625;625_a;625;Lage Zwaluwe;Zlw;20230424;C;21
861;861__;861;Delden Raccordement;Ddnser;20230424;C;21
433;433__;433;Sittard - Born;Std-Bon;20230424;C;21
119;119_a;119;Lage Zwaluwe - Dordrecht;Zlw-Ddr;20230424;C;21
114;114_b;114;Rotterdam Kleiweg - Rotterdam Westelijke Splitsing;Rtkw-Wspl;20230424;C;21
808;808__;808;VAM-terrein Wijster;Vam;20230424;C;21
540;540_c;540;Rotterdam Westelijke Splitsing;Wspl;20230424;C;21
544;544_b;544;Breda;Bd;20230424;C;21
032;032__;32;Blauwkapel - Lunetten;Bkp-Ln;20230424;C;21
510;510_a;510;Elst;Est;20230424;C;21
530;530_b;530;Den Dolder;Dld;20230424;C;21
005;005__;5;Zuidbroek - Nieuweschans Grens;Zb-Nscg;20230424;C;21
805;805_b;805;Dordrecht Zeehaventerrein;Ddrz;20230424;C;21
502;502_b;502;Meppel;Mp;20230424;C;21
810;810_c;810;Dordrecht Industrieterrein Aansl. De Staart;Ddri;20230424;C;21
801;801_i;801;Moerdijk Industrieterrein;Mdki;20230424;C;21
756;756__;756;Beugen;Bug;20230424;C;21
817;817_i;817;Vlissingen Sloehaven;Sloe;20230424;C;21
817;817_e;817;Vlissingen Sloehaven;Sloe;20230424;C;21
614;614_c;614;s Hertogenbosch;Ht;20230424;C;21
814;814_b;814;Maastricht Racc. Beatrixhaven;Mttrix;20230424;C;21
511;511__;511;Vork;Vrk;20230424;C;21
543;543_a;543;Hengelo;Hgl;20230424;C;21
025;025__;25;Almelo - Hengelo;Aml-Hgl;20230424;C;21
163;163__;163;Rotterdam Lombardijen - Rotterdam Centraal;Rlb-Rtd;20230424;C;21
663;663_d;663;Rotterdam Barendrecht;Brd;20230424;C;21
664;664_b;664;Rotterdam Lombardijen;Rlb;20230424;C;21
663;663_g;663;Rotterdam Barendrecht;Brd;20230424;C;21
779;779__;779;Emmerich (D) - Zevenaar Grens;Em-Zvg;20230424;C;21
537;537_b;537;Moordrecht Aansl.;Mda;20230424;C;21
624;624_a;624;Gouda;Gd;20230424;C;21
587;587_c;587;Diemen;Dmn;20230424;C;21
534;534_b;534;Leiden Centraal;Ledn;20230424;C;21
550;550__;550;Leeuwarden;Lw;20230424;C;21
468;468_f;468;Rotterdam Eemhaven;Reh;20230424;C;21
007;007__;7;Sauwerd - Winsum;Swd-Wsm;20230424;C;21
801;801_d;801;Moerdijk Industrieterrein;Mdki;20230424;C;21
805;805_c;805;Dordrecht Zeehaventerrein;Ddrz;20230424;C;21
506;506_b;506;Amersfoort;Amf;20230424;C;21
042;042__;42;Vork - Kesteren;Vrk-Ktr;20230424;C;21
817;817_m;817;Vlissingen Sloehaven;Sloe;20230424;C;21
127;127_b;127;Roosendaal - Vlissingen;Rsd-Vs;20230424;C;21
557;557_b;557;Terneuzen Aansl.;Tnza;20230424;C;21
051;051__;51;s Hertogenbosch - Vught Aansl.;Ht-Vga;20230424;C;21
059;059__;59;Weert - Roermond;Wt-Rm;20230424;C;21
804;804_b;804;Beverwijk Hoogovens, Van Gelder;Bvhg;20230424;C;21
537;537_a;537;Moordrecht Aansl.;Mda;20230424;C;21
106;106__;106;Gouda - Moordrecht Aansl. Noord;Gd-Mdan;20230424;C;21
105;105__;105;Woerden - Gouda;Wd-Gd;20230424;C;21
624;624_b;624;Gouda;Gd;20230424;C;21
115;115_a;115;Schiedam Centrum - Vlaardingen Vulcaanhaven;Sdm-Vdgvch;20230424;C;21
801;801_r;801;Moerdijk Industrieterrein;Mdki;20230424;C;21
098;098__;98;Breukelen - Utrecht Centraal;Bkl-Ut;20230424;C;21
857;857_b;857;Almelo Gem. Stamlijn;Gsalm;20230424;C;21
504;504_b;504;Heerlen;Hrl;20230424;C;21
009;009__;9;Meppel - Leeuwarden;Mp-Lw;20230424;C;21
210;210__;210;Zutphen - Winterswijk;Zp-Ww;20230424;C;21
