SPOORTAK_IDENTIFICATIE;RICHTING;SPOORTAK_ASL;PERCENT_ASL;RICHTING_ASL
469_233L_201.7;100-0;469_233V_201.7;0;0-100
201_139R_37.3;0-100;803_24V_100.4;100;100-0
201_137R_37.3;100-0;201_137V_37.3;0;0-100
079_171BV_14.2;0-100;079_181AL_3.1;0;0-100
079_171BV_14.2;0-100;079_181AR_3.1;0;0-100
478_1353V_3.0;0-100;478_1357V_3.0;0;0-100
478_1351V_3.0;0-100;478_1355V_3.0;0;0-100
927_3051BR_905.4;0-100;927_3057L_905.4;0;0-100
927_3051BR_905.4;0-100;927_3057R_905.4;0;0-100
927_3051AR_905.3;0-100;927_3051BR_905.4;0;0-100
478_1349V_3.0;0-100;478_1355V_3.0;0;0-100
552_2307R_83.5;0-100;552_2309L_83.5;0;0-100
552_2307R_83.5;0-100;552_2309R_83.5;0;0-100
200_171V_8.4;0-100;200_179L_12.7;0;0-100
200_171V_8.4;0-100;200_179R_12.7;0;0-100
531_2717R_35.5;0-100;531_505R_35.7;100;100-0
478_841R_0.6;100-0;478_841V_0.6;0;0-100
478_841R_0.6;0-100;478_843R_0.6;0;0-100
118_123L_77.1;100-0;118_45V_79.5;100;100-0
118_123L_77.1;0-100;118_53V_70.9;100;100-0
118_123R_77.1;100-0;118_45V_79.5;100;100-0
118_123R_77.1;0-100;118_53V_70.9;100;100-0
950_1011V_39.9;100-0;950_TRV_39.2;100;100-0
950_1011V_39.9;0-100;950_55AV_40.7;100;100-0
950_1011V_39.9;0-100;950_1013R_40.1;0;0-100
950_1013R_40.1;0-100;950_79R_41.0;100;100-0
950_1013R_40.1;0-100;950_1015R_40.1;0;0-100
520_129AR_0.6;100-0;520_53L_0.1;100;100-0
520_129AR_0.6;0-100;520_151AL_0.8;0;0-100
520_151AR_0.8;0-100;520_151BV_0.8;0;0-100
520_127AR_0.6;100-0;520_53R_0.1;100;100-0
143_71V_17.1;100-0;565_65L_16.6;100;100-0
143_71V_17.1;0-100;143_75V_17.2;0;0-100
564_1333L_23.6;0-100;564_1335L_23.6;0;0-100
564_1331L_23.6;100-0;564_1331V_23.6;0;0-100
564_1303V_23.5;0-100;564_1331V_23.6;0;0-100
564_1331V_23.6;0-100;564_1335R_23.6;0;0-100
564_1323R_23.6;0-100;564_1339L_23.6;0;0-100
564_1323R_23.6;0-100;564_1339R_23.6;0;0-100
560_81R_24.6;100-0;560_81V_24.6;0;0-100
560_81R_24.6;0-100;564_961V_24.3;100;100-0
560_81R_24.6;0-100;564_433BV_23.6;100;100-0
560_81L_24.6;100-0;560_81V_24.6;0;0-100
555_501L_82.9;100-0;555_501V_82.9;0;0-100
555_501L_82.9;0-100;555_503L_82.9;0;0-100
555_221BV_83.5;0-100;555_339AL_84.1;0;0-100
555_221BV_83.5;0-100;555_337BL_84.2;100;100-0
508_869L_91.1;0-100;508_877V_91.4;0;0-100
508_2071L_91.2;100-0;508_869R_91.1;100;100-0
508_2071R_91.2;100-0;508_869R_91.1;100;100-0
508_2071R_91.2;0-100;508_2073V_91.2;0;0-100
536_235AR_60.7;0-100;536_239R_60.7;0;0-100
536_221AR_60.5;100-0;564_219BV_100.6;100;100-0
536_221AR_60.5;0-100;536_223AR_60.6;0;0-100
477_41R_200.3;0-100;477_42L_200.6;0;0-100
486_411BpV_77.5;0-100;486_415AV_77.5;0;0-100
609_209L_28.7;100-0;609_209V_28.7;0;0-100
609_209L_28.7;0-100;609_239L_28.1;100;100-0
609_207V_28.7;0-100;609_209V_28.7;0;0-100
603_175AL_3.8;100-0;603_175AV_3.8;0;0-100
603_175AL_3.8;0-100;603_175BV_3.9;0;0-100
603_175AV_3.8;0-100;603_3217AL_3.7;100;100-0
950_195L_7.6;100-0;950_195V_7.6;0;0-100
950_195L_7.6;0-100;950_197L_7.6;0;0-100
950_195L_7.6;0-100;950_197R_7.6;0;0-100
950_195V_7.6;0-100;950_199V_7.6;0;0-100
043_353BV_33.3;0-100;043_361L_37.0;0;0-100
043_353BV_33.3;0-100;043_361R_37.0;0;0-100
664_107BV_42.1;0-100;664_121AL_42.4;0;0-100
664_107BV_42.1;0-100;664_121AR_42.4;0;0-100
032_3R_15.8;100-0;032_3V_15.8;0;0-100
032_3R_15.8;0-100;032_7L_16.0;0;0-100
032_3R_15.8;0-100;032_7R_16.0;0;0-100
032_3L_15.8;100-0;032_3V_15.8;0;0-100
032_3L_15.8;0-100;032_5V_15.9;0;0-100
032_5R_15.9;100-0;032_5V_15.9;0;0-100
133_1125L_19.1;0-100;133_1127AL_19.2;0;0-100
486_68L_202.2;0-100;486_70V_202.4;0;0-100
124_181L_3.2;100-0;551_163L_24.0;100;100-0
124_181L_3.2;0-100;124_183V_3.3;0;0-100
545_197V_23.4;0-100;545_199V_23.4;0;0-100
545_904L_22.1;0-100;545_905L_22.0;0;0-100
545_904L_22.1;0-100;545_905R_22.0;0;0-100
614_2109R_47.3;0-100;614_2119L_47.4;0;0-100
614_2109R_47.3;0-100;614_2119R_47.4;0;0-100
950_227AR_17.6;100-0;950_227AV_17.6;0;0-100
950_227AR_17.6;0-100;950_241V_18.5;0;0-100
536_225BL_60.7;100-0;536_233AL_60.6;0;0-100
536_225BL_60.7;0-100;564_215AL_59.8;100;100-0
536_231AL_60.6;0-100;536_243AL_60.6;0;0-100
132_952V_49.2;0-100;132_953V_49.1;0;0-100
132_951V_49.1;0-100;132_953V_49.1;0;0-100
132_950V_49.2;0-100;132_951V_49.1;0;0-100
132_951R_49.1;100-0;132_951V_49.1;0;0-100
008_1231L_20.5;0-100;008_1235V_20.8;0;0-100
109_231AL_32.5;100-0;562_159L_60.9;100;100-0
109_231AL_32.5;0-100;109_233BV_32.2;0;0-100
542_1177AL_29.1;0-100;542_1183AL_29.2;0;0-100
542_1183AL_29.2;0-100;542_1185L_29.2;0;0-100
508_827L_90.9;0-100;508_829V_90.8;0;0-100
004_3L_101.7;100-0;004_3V_101.7;0;0-100
006_1003R_3.6;100-0;501_15V_80.0;100;100-0
006_1003R_3.6;0-100;006_1009BV_4.4;0;0-100
085_305BV_31.8;0-100;085_311AL_31.8;0;0-100
085_305BV_31.8;0-100;085_311AR_31.8;0;0-100
085_311AL_31.8;0-100;085_311BV_31.9;0;0-100
508_2009V_90.3;0-100;508_2013R_90.3;0;0-100
508_2013L_90.3;0-100;508_2017V_90.3;0;0-100
508_2017V_90.3;0-100;508_2019L_90.4;0;0-100
508_2017V_90.3;0-100;508_2019R_90.4;0;0-100
523_5005BR_177.5;100-0;523_5005BV_177.5;0;0-100
523_5005BV_177.5;0-100;523_911L_53.9;100;100-0
664_1007R_43.0;0-100;664_1011L_42.9;0;0-100
664_1007R_43.0;0-100;664_1011R_42.9;0;0-100
664_1005R_43.0;0-100;664_1007L_43.0;0;0-100
664_1005R_43.0;0-100;664_1007R_43.0;0;0-100
520_207V_1.1;0-100;520_217AL_1.1;0;0-100
508_2005R_90.1;100-0;510_401V_9.7;100;100-0
508_2005R_90.1;0-100;508_2043V_91.1;0;0-100
055_319BV_11.8;0-100;055_399AL_19.6;0;0-100
055_319BV_11.8;0-100;055_399AR_19.6;0;0-100
057_41L_11.2;100-0;057_41V_11.2;0;0-100
057_41L_11.2;0-100;057_43V_11.2;0;0-100
504_15V_17.1;100-0;504_15pV_17.1;0;0-100
504_15V_17.1;0-100;504_19V_17.2;0;0-100
553_309AR_22.2;0-100;553_315V_22.4;0;0-100
553_309AL_22.2;0-100;553_309BV_22.3;0;0-100
624_195AL_32.4;0-100;624_195BV_32.5;0;0-100
120_9BL_7.7;100-0;120_9BV_7.7;0;0-100
120_9BL_7.7;0-100;625_311BL_14.3;0;0-100
120_9BL_7.7;0-100;625_311AR_14.3;100;100-0
608_63AR_88.8;0-100;608_67L_88.9;0;0-100
508_817V_90.8;0-100;508_819V_90.9;0;0-100
508_817R_90.8;100-0;508_817V_90.8;0;0-100
508_817L_90.8;100-0;508_817V_90.8;0;0-100
508_819V_90.9;0-100;508_821V_90.9;0;0-100
664_897BV_42.9;0-100;664_917AL_43.2;0;0-100
664_897BV_42.9;0-100;664_917AR_43.2;0;0-100
527_85BV_17.2;0-100;527_89AL_17.2;0;0-100
527_85BV_17.2;0-100;527_89AR_17.2;0;0-100
042_759AR_21.1;100-0;042_759AV_21.1;0;0-100
042_759AV_21.1;0-100;042_901R_20.6;100;100-0
042_759AV_21.1;0-100;042_901L_20.6;100;100-0
042_901R_20.6;100-0;042_901V_20.6;0;0-100
815_243L_4.5;0-100;815_251R_5.0;0;0-100
613_906V_76.0;0-100;613_907AL_76.0;0;0-100
161_2511L_20.1;0-100;161_2513V_20.2;0;0-100
161_2513V_20.2;0-100;161_2515L_20.3;0;0-100
161_2513V_20.2;0-100;161_2515R_20.3;0;0-100
001_1103R_1.0;100-0;001_1103V_1.0;0;0-100
001_1103R_1.0;0-100;001_1107V_1.4;0;0-100
143_912AL_17.9;100-0;143_912BL_17.9;0;0-100
143_912AL_17.9;0-100;143_918R_17.8;100;100-0
524_251AR_70.4;0-100;524_251BV_70.5;0;0-100
588_829R_1.8;0-100;588_844V_2.1;0;0-100
135_2011V_39.7;0-100;135_2023L_40.3;0;0-100
135_2011V_39.7;0-100;135_2023R_40.3;0;0-100
817_62R_502.5;100-0;817_62V_502.5;0;0-100
536_221AL_60.5;100-0;564_219BV_100.6;100;100-0
536_221AL_60.5;0-100;536_245BV_60.7;0;0-100
564_954R_23.7;100-0;564_954V_23.7;0;0-100
564_954R_23.7;0-100;564_958V_24.1;0;0-100
564_959V_24.2;0-100;564_960V_24.2;0;0-100
564_957R_23.7;0-100;564_959V_24.2;0;0-100
564_957L_23.7;0-100;564_960V_24.2;0;0-100
801_922L_9.1;0-100;801_923V_11.9;0;0-100
508_829R_90.8;100-0;508_829V_90.8;0;0-100
508_829R_90.8;0-100;508_831V_90.9;0;0-100
564_1309L_23.5;0-100;564_1311L_23.5;0;0-100
518_137V_63.8;0-100;518_149V_64.3;0;0-100
161_2539L_21.2;0-100;161_2673V_31.7;0;0-100
560_41BpV_24.9;0-100;560_43AV_24.9;0;0-100
128_9BR_12.2;0-100;585_1187L_8.3;100;100-0
128_7AV_12.3;0-100;128_9AL_12.1;100;100-0
128_7AV_12.3;0-100;128_9BR_12.2;0;0-100
163_951BV_44.0;0-100;163_965V_44.4;0;0-100
505_313AR_23.7;0-100;505_315BV_23.9;0;0-100
505_313AL_23.7;0-100;505_313BV_23.9;0;0-100
478_1125BV_0.7;0-100;478_1151V_0.7;100;100-0
478_1125AL_0.6;100-0;478_1127L_0.7;0;0-100
478_1125AL_0.6;0-100;478_1125BV_0.7;0;0-100
478_1123BV_0.7;0-100;478_1141V_0.7;100;100-0
478_1245L_1.8;0-100;478_1267L_1.8;0;0-100
478_1245L_1.8;0-100;478_1267R_1.8;0;0-100
163_1027AR_43.9;0-100;163_1029AR_43.9;0;0-100
506_157BV_44.3;0-100;506_656AL_44.3;0;0-100
506_153AL_44.1;0-100;506_153BV_44.2;0;0-100
506_121AR_44.1;0-100;506_153BV_44.2;0;0-100
606_107BV_1.0;0-100;606_109V_1.0;0;0-100
163_1031AL_44.0;0-100;163_1039AL_44.3;0;0-100
163_1031AR_44.0;0-100;163_1033V_44.0;0;0-100
506_161AR_44.2;0-100;506_245V_45.2;0;0-100
506_247BV_45.2;0-100;506_249V_45.3;0;0-100
506_247AR_45.1;0-100;506_247BV_45.2;0;0-100
506_243AL_45.1;0-100;506_243BV_45.1;0;0-100
105_141AL_31.5;0-100;624_145BV_31.7;0;0-100
105_141AR_31.5;0-100;105_141BV_31.6;0;0-100
105_141BL_31.6;100-0;105_141BV_31.6;0;0-100
105_141BL_31.6;0-100;105_143AL_31.4;100;100-0
105_141BL_31.6;0-100;105_143BR_31.5;0;0-100
105_143AL_31.4;100-0;105_143AV_31.4;0;0-100
564_1301L_23.4;0-100;564_1309L_23.5;0;0-100
564_1301L_23.4;0-100;564_1309R_23.5;0;0-100
618_15V_58.4;0-100;618_17AV_58.7;100;100-0
618_15V_58.4;0-100;618_21AR_58.4;0;0-100
524_259BV_70.7;0-100;524_301V_71.6;0;0-100
618_39L_58.7;0-100;618_43BV_58.8;0;0-100
094_1067AL_3.4;100-0;094_1067AV_3.4;0;0-100
094_1067AL_3.4;0-100;546_1049V_3.9;100;100-0
094_1067AV_3.4;100-0;546_1047AV_3.9;100;100-0
094_1067AV_3.4;0-100;094_1069BL_3.4;0;0-100
094_1067AV_3.4;0-100;094_1069AR_3.3;100;100-0
586_2515AL_80.2;0-100;586_2525BL_80.3;100;100-0
586_2527AL_80.2;0-100;586_2539AL_80.3;0;0-100
121_523AL_8.4;0-100;121_523BV_8.3;0;0-100
540_391V_101.8;100-0;555_213BR_83.3;100;100-0
540_391V_101.8;100-0;555_223BL_83.4;100;100-0
610_143L_14.6;0-100;610_149BV_14.0;0;0-100
543_143R_44.9;0-100;543_147BV_44.9;0;0-100
123_1AV_10.6;0-100;544_1129BV_1.4;100;100-0
123_1AV_10.6;0-100;544_1131AR_1.4;100;100-0
817_77L_205.6;0-100;817_78AL_205.7;0;0-100
624_255L_32.7;100-0;624_255V_32.7;0;0-100
624_255L_32.7;0-100;624_267L_32.7;0;0-100
927_3005V_905.3;100-0;927_37L_904.5;100;100-0
927_3005V_905.3;100-0;927_41R_904.6;100;100-0
927_3005V_905.3;0-100;927_3009AL_905.3;0;0-100
927_3005V_905.3;0-100;927_3007BL_905.4;100;100-0
927_3073AL_905.4;0-100;927_3073BV_905.5;0;0-100
927_3071BL_905.5;100-0;927_3075AL_905.4;0;0-100
927_3009BV_905.3;0-100;927_3073AL_905.4;0;0-100
927_3009BV_905.3;0-100;927_3071BL_905.5;100;100-0
927_3071AL_905.4;0-100;927_3073BV_905.5;0;0-100
927_3071AR_905.4;0-100;927_3075AR_905.4;0;0-100
127_443AV_67.7;0-100;127_661BV_61.7;100;100-0
817_667R_700.5;0-100;817_683V_701.4;0;0-100
817_74R_205.2;0-100;817_75V_205.6;0;0-100
817_74L_205.2;0-100;817_75V_205.6;0;0-100
817_74AV_206.2;0-100;817_74BL_206.2;0;0-100
520_127AR_0.6;0-100;520_151BV_0.8;0;0-100
522_161R_57.5;0-100;522_185AL_57.7;0;0-100
522_161R_57.5;0-100;522_183BL_57.8;100;100-0
606_45AR_37.6;0-100;606_45BV_37.6;0;0-100
132_962AL_48.9;100-0;132_962BL_48.9;0;0-100
132_453BL_48.9;100-0;132_453BV_48.9;0;0-100
518_117L_63.5;100-0;518_119L_63.4;0;0-100
518_121L_63.6;0-100;518_125L_63.6;0;0-100
518_121R_63.6;0-100;518_123L_63.6;0;0-100
518_121R_63.6;0-100;518_123R_63.6;0;0-100
139_323L_175.2;0-100;139_5009AV_177.4;100;100-0
139_5009AV_177.4;0-100;139_5011L_177.2;100;100-0
508_2089L_91.3;0-100;508_2097V_91.5;0;0-100
508_2083V_91.4;0-100;508_2095L_91.4;0;0-100
508_2083V_91.4;0-100;508_2095R_91.4;0;0-100
508_2095L_91.4;0-100;508_2113L_91.4;0;0-100
508_2095L_91.4;0-100;508_2111R_91.6;100;100-0
508_2095R_91.4;0-100;508_2097V_91.5;0;0-100
508_2113L_91.4;0-100;508_2115V_91.6;0;0-100
508_2101L_91.4;0-100;508_2105V_91.5;0;0-100
520_49AL_28.4;0-100;520_93AL_0.2;0;0-100
520_49AL_28.4;0-100;520_91BL_0.3;100;100-0
606_71AL_0.2;0-100;606_83AL_0.6;0;0-100
606_71AL_0.2;0-100;606_81BL_0.7;100;100-0
606_71AR_0.2;0-100;606_73AR_0.3;0;0-100
606_67BV_0.3;0-100;606_73AL_0.3;0;0-100
606_67BR_0.3;100-0;606_67BV_0.3;0;0-100
127_325AR_13.2;0-100;127_325BV_13.3;0;0-100
127_307BV_12.3;0-100;127_313L_12.3;0;0-100
127_307BV_12.3;0-100;127_313R_12.3;0;0-100
127_309BV_12.3;0-100;127_311L_12.3;0;0-100
127_309BV_12.3;0-100;127_311R_12.3;0;0-100
553_911L_21.4;0-100;553_923L_21.5;0;0-100
553_911L_21.4;0-100;553_923R_21.5;0;0-100
553_913L_21.5;0-100;553_917L_21.5;0;0-100
553_913L_21.5;0-100;553_917R_21.5;0;0-100
950_435BV_27.9;0-100;950_439L_28.0;0;0-100
950_435BV_27.9;0-100;950_439R_28.0;0;0-100
950_241L_18.5;100-0;950_241V_18.5;0;0-100
950_241L_18.5;0-100;950_349L_17.5;100;100-0
926_4065L_0.8;100-0;926_4067L_0.8;0;0-100
550_981L_25.5;0-100;550_985V_25.6;0;0-100
550_968L_25.4;0-100;550_985V_25.6;0;0-100
486_939AL_;0-100;486_941AL_76.1;100;100-0
544_1071AL_0.1;0-100;544_1071BV_0.2;0;0-100
544_1071AR_0.1;0-100;544_1075L_0.2;0;0-100
544_1071AR_0.1;0-100;544_1075R_0.2;0;0-100
544_1067BV_23.5;0-100;544_1071AL_0.1;0;0-100
544_1067BV_23.5;0-100;544_1071AR_0.1;0;0-100
924_3549AL_35.5;100-0;924_3551L_35.5;0;0-100
924_3549BR_35.6;100-0;924_3557R_35.5;0;0-100
924_3547BL_35.6;100-0;924_3555L_35.5;0;0-100
924_3547BL_35.6;0-100;924_3551R_35.5;0;0-100
924_3547AL_35.5;0-100;924_3553L_35.5;0;0-100
924_3547AL_35.5;0-100;924_3549BR_35.6;100;100-0
551_135AR_22.6;0-100;551_145BV_22.9;0;0-100
551_145AR_22.8;0-100;551_145BV_22.9;0;0-100
551_143BV_22.8;0-100;551_145AL_22.8;0;0-100
551_143BV_22.8;0-100;551_145AR_22.8;0;0-100
950_435AV_27.8;0-100;950_952V_27.8;100;100-0
950_435AV_27.8;0-100;950_953R_27.8;0;0-100
950_131L_7.1;0-100;950_133L_7.2;0;0-100
950_131L_7.1;0-100;950_133R_7.2;0;0-100
950_321R_17.1;0-100;950_323V_17.2;0;0-100
508_2019L_90.4;0-100;508_2021V_90.5;0;0-100
508_2019R_90.4;0-100;508_2045L_91.1;0;0-100
508_2019R_90.4;0-100;508_2045R_91.1;0;0-100
508_2021V_90.5;0-100;508_2041L_90.9;0;0-100
508_2021V_90.5;0-100;508_2041R_90.9;0;0-100
004_3L_101.7;0-100;548_373AR_86.4;100;100-0
004_3L_101.7;0-100;548_375AR_86.5;100;100-0
116_1377AL_33.0;0-100;664_901AV_42.8;100;100-0
116_1375R_33.0;0-100;664_901AV_42.8;100;100-0
116_1375L_33.0;0-100;116_1379L_33.0;0;0-100
116_1375L_33.0;0-100;116_1379R_33.0;0;0-100
586_111BpV_80.6;0-100;586_93L_80.5;100;100-0
823_15R_4.7;100-0;823_15V_4.7;0;0-100
469_330L_601.4;0-100;469_334R_601.8;0;0-100
469_331L_601.5;0-100;469_335V_601.9;0;0-100
469_335V_601.9;0-100;469_336BR_601.9;0;0-100
469_333L_601.6;0-100;469_337V_602.0;0;0-100
664_897AR_42.8;0-100;664_897BV_42.9;0;0-100
437_961R_0.6;100-0;437_961V_0.6;0;0-100
469_334R_601.8;0-100;469_335V_601.9;0;0-100
924_2331AR_35.0;0-100;924_2351V_35.5;0;0-100
537_251AL_34.6;100-0;624_223BV_32.9;100;100-0
624_261AL_32.5;100-0;624_261AV_32.5;0;0-100
802_802R_100.7;0-100;802_807V_101.4;0;0-100
546_1031L_12.7;0-100;546_1053V_13.9;0;0-100
924_2373R_37.4;100-0;924_2373V_37.4;0;0-100
924_2373R_37.4;0-100;924_3747V_36.8;100;100-0
520_971R_0.6;0-100;520_972V_1.0;0;0-100
606_43AR_37.6;0-100;606_45BV_37.6;0;0-100
606_51BR_0.1;100-0;606_51BV_0.1;0;0-100
606_51AL_0.0;0-100;606_51BV_0.1;0;0-100
082_137BV_1.5;100-0;527_117L_0.5;100;100-0
082_137BV_1.5;0-100;556_1405L_5.4;0;0-100
082_137BV_1.5;0-100;556_1405R_5.4;0;0-100
478_11V_0.7;0-100;478_1201V_0.6;0;0-100
085_305AL_31.8;0-100;085_305BV_31.8;0;0-100
085_305AR_31.8;0-100;085_307L_31.8;0;0-100
085_305AR_31.8;0-100;085_307R_31.8;0;0-100
085_311AR_31.8;0-100;085_325BV_32.8;0;0-100
534_1047BV_45.6;0-100;534_1101V_46.1;0;0-100
531_2607L_34.6;0-100;531_2673V_34.9;0;0-100
522_231AR_58.2;0-100;522_231BV_58.3;0;0-100
132_475AL_48.0;0-100;132_475BV_47.9;0;0-100
132_453BV_48.9;0-100;132_457R_48.8;0;0-100
620_55AR_42.1;0-100;620_93V_42.6;0;0-100
518_119R_63.4;0-100;518_155L_63.5;0;0-100
518_119R_63.4;0-100;518_155R_63.5;0;0-100
520_151AL_0.8;0-100;520_219AR_1.2;0;0-100
522_901L_57.3;100-0;522_901V_57.3;0;0-100
522_901L_57.3;0-100;522_902L_57.5;0;0-100
522_901L_57.3;0-100;522_902R_57.5;0;0-100
520_201AL_0.8;100-0;520_69BV_0.4;100;100-0
520_201AL_0.8;0-100;520_201BV_0.9;0;0-100
520_49AR_28.4;0-100;520_49BV_28.5;0;0-100
520_45BV_28.3;0-100;520_47AL_28.4;0;0-100
520_45BV_28.3;0-100;520_47AR_28.4;0;0-100
851_11V_100.2;0-100;851_86L_100.3;0;0-100
851_11V_100.2;0-100;851_86R_100.3;0;0-100
525_972R_78.5;0-100;525_987V_78.0;0;0-100
525_970R_78.6;0-100;525_973L_78.5;0;0-100
525_970R_78.6;0-100;525_973R_78.5;0;0-100
525_967L_78.5;0-100;525_969L_78.5;0;0-100
525_967L_78.5;0-100;525_969R_78.5;0;0-100
478_1613L_3.0;100-0;478_1613V_3.0;0;0-100
478_1613L_3.0;0-100;478_1641L_2.3;0;0-100
478_1613L_3.0;0-100;478_1641R_2.3;0;0-100
478_1611R_2.9;100-0;478_1611V_2.9;0;0-100
478_1611R_2.9;0-100;478_1613V_3.0;0;0-100
478_1613V_3.0;0-100;478_1615L_3.0;0;0-100
485_96L_101.1;0-100;485_97AL_101.1;0;0-100
950_662L_7.3;0-100;950_663L_7.5;0;0-100
950_662L_7.3;0-100;950_663R_7.5;0;0-100
950_610BR_6.5;0-100;950_630V_6.2;0;0-100
950_909L_16.9;100-0;950_909V_16.9;0;0-100
950_909L_16.9;0-100;950_912L_17.0;0;0-100
531_2753R_35.6;0-100;531_2831L_37.0;0;0-100
531_2753R_35.6;0-100;531_2831R_37.0;0;0-100
400_912R_75.9;100-0;400_912V_75.9;0;0-100
536_241AR_60.7;0-100;536_309AR_61.5;0;0-100
536_307AR_61.4;0-100;536_993L_61.5;0;0-100
536_307AR_61.4;0-100;536_993R_61.5;0;0-100
139_311AR_175.0;100-0;524_301V_71.6;100;100-0
139_311AR_175.0;0-100;139_311BV_175.2;0;0-100
139_313R_175.0;100-0;524_303BV_71.6;100;100-0
139_313R_175.0;0-100;139_315AL_175.0;0;0-100
139_313R_175.0;0-100;139_315AR_175.0;0;0-100
510_421R_10.4;0-100;512_4473V_88.6;100;100-0
133_1013V_8.6;0-100;133_1301BV_10.0;0;0-100
076_1655L_12.2;0-100;076_1677V_12.4;0;0-100
076_1659L_12.3;0-100;076_1675L_12.3;0;0-100
076_1659L_12.3;0-100;076_1675R_12.3;0;0-100
124_906R_3.1;100-0;124_906V_3.1;0;0-100
144_1407R_155.8;0-100;144_785AV_153.7;100;100-0
564_219BL_100.6;100-0;564_219BV_100.6;0;0-100
564_219BL_100.6;0-100;564_441BV_23.8;100;100-0
552_2115V_82.3;0-100;552_2137V_82.7;0;0-100
927_3001V_905.2;100-0;927_45R_904.7;100;100-0
927_3001V_905.2;100-0;927_45L_904.7;100;100-0
927_3001V_905.2;0-100;927_3003V_905.3;0;0-100
133_1121AL_19.0;0-100;133_1121BV_19.2;0;0-100
478_1611L_2.9;100-0;478_1611V_2.9;0;0-100
478_1611L_2.9;0-100;479_1633L_300.5;0;0-100
478_1611L_2.9;0-100;479_1633R_300.5;0;0-100
478_1611V_2.9;0-100;478_1643L_2.2;0;0-100
139_319BL_175.4;100-0;139_319BV_175.4;0;0-100
139_319BL_175.4;0-100;139_321AL_175.2;100;100-0
486_919V_76.3;0-100;486_926L_76.3;0;0-100
486_918L_76.3;0-100;486_919V_76.3;0;0-100
486_917V_76.3;0-100;486_919V_76.3;0;0-100
486_803L_76.6;100-0;525_427L_77.8;100;100-0
486_803L_76.6;0-100;486_919V_76.3;100;100-0
588_413AL_2.8;0-100;588_417AL_2.9;0;0-100
588_415AL_2.9;0-100;588_415BV_2.9;0;0-100
003_2233R_84.2;0-100;003_2235L_84.2;0;0-100
003_2233R_84.2;0-100;003_2235R_84.2;0;0-100
525_487AR_79.1;0-100;525_487BV_79.2;0;0-100
525_487AL_79.1;0-100;525_489BV_79.2;0;0-100
525_489AR_79.1;0-100;525_489BV_79.2;0;0-100
525_491V_79.2;0-100;525_493BV_79.2;0;0-100
525_493AL_79.1;0-100;525_493BV_79.2;0;0-100
479_1703R_304.2;0-100;479_1705V_304.3;0;0-100
605_1BV_33.4;0-100;605_3AL_33.4;0;0-100
605_1BV_33.4;0-100;605_3AR_33.4;0;0-100
605_3AR_33.4;0-100;605_3BV_33.5;0;0-100
606_35V_37.4;0-100;606_43BR_37.6;100;100-0
606_35V_37.4;0-100;606_45AR_37.6;0;0-100
606_43AL_37.6;0-100;606_43BV_37.6;0;0-100
603_918L_3.2;0-100;603_922V_3.0;0;0-100
661_115L_21.6;0-100;661_127V_22.0;0;0-100
661_115R_21.6;0-100;661_127V_22.0;0;0-100
518_119L_63.4;0-100;518_121L_63.6;0;0-100
518_119L_63.4;0-100;518_121R_63.6;0;0-100
544_1051AR_23.1;0-100;544_1051BV_23.2;0;0-100
654_407V_49.3;0-100;654_425V_50.4;0;0-100
063_263L_2.7;0-100;814_950L_100.5;0;0-100
063_263L_2.7;0-100;814_950R_100.5;0;0-100
560_51AR_24.9;100-0;560_51AV_24.9;0;0-100
560_51AR_24.9;0-100;560_53BV_24.8;0;0-100
564_433AR_23.5;0-100;564_433BV_23.6;0;0-100
506_625V_44.1;0-100;506_628V_44.2;0;0-100
506_627V_44.1;0-100;506_628V_44.2;0;0-100
506_628V_44.2;0-100;506_635V_44.2;0;0-100
663_3029AR_201.3;0-100;950_3029BV_201.4;0;0-100
002_385R_68.2;0-100;002_395V_69.0;0;0-100
817_74AV_206.2;0-100;817_74BR_206.2;0;0-100
507_239AL_93.7;0-100;507_239BV_93.8;0;0-100
553_325AL_22.6;0-100;553_325BV_22.7;0;0-100
560_1273AR_24.9;100-0;560_1275AR_24.9;100;100-0
133_1189L_20.2;0-100;133_2101L_20.3;0;0-100
133_1189L_20.2;0-100;133_961R_20.8;100;100-0
133_1187L_20.2;0-100;133_1189L_20.2;0;0-100
133_1187L_20.2;0-100;133_964R_20.7;100;100-0
121_501V_9.7;100-0;625_315BV_14.3;100;100-0
121_501V_9.7;0-100;121_521AL_8.5;0;0-100
121_501V_9.7;0-100;121_521AR_8.5;0;0-100
543_135AL_14.9;100-0;606_109V_1.0;100;100-0
543_135AL_14.9;0-100;543_141L_44.8;0;0-100
543_135AL_14.9;0-100;543_139BR_44.9;100;100-0
543_157BL_45.0;100-0;543_157BV_45.0;0;0-100
543_189L_45.5;0-100;543_925L_45.5;0;0-100
543_189L_45.5;0-100;543_925R_45.5;0;0-100
130_3R_60.8;100-0;852_2V_160.7;100;100-0
130_3R_60.8;0-100;557_2L_27.4;100;100-0
586_2551AR_80.3;0-100;586_2567AL_80.7;0;0-100
586_2551AR_80.3;0-100;586_2567AR_80.7;0;0-100
555_213AR_83.3;0-100;555_269L_83.5;0;0-100
085_307L_31.8;0-100;085_321BV_32.6;0;0-100
085_307R_31.8;0-100;085_321BV_32.6;0;0-100
545_267R_22.6;0-100;545_271L_22.7;0;0-100
011_67AL_69.0;0-100;011_68AL_69.0;0;0-100
