SPOORTAK_IDENTIFICATIE;RICHTING;SPOORTAK_ASL;PERCENT_ASL;RICHTING_ASL
503_121R_43.1;0-100;503_171BR_42.2;100;100-0
938_903R_3.0;0-100;938_904L_3.0;0;0-100
938_903R_3.0;0-100;938_904R_3.0;0;0-100
938_904R_3.0;0-100;938_905L_3.2;0;0-100
938_904R_3.0;0-100;938_905R_3.2;0;0-100
503_167AR_42.4;100-0;503_922V_42.4;100;100-0
503_167AR_42.4;0-100;503_929AL_42.2;0;0-100
517_89BpV_69.5;100-0;517_91BL_69.5;57,739311;100-0
517_91BpV_69.5;0-100;517_91BL_69.5;39,967166;0-100
506_31BqV_43.2;100-0;506_37BL_43.2;61,404409;100-0
506_37BpV_43.2;0-100;506_37BL_43.2;40,655608;0-100
555_265BqV_83.5;0-100;555_265AR_83.4;60,812425;100-0
555_263BpV_83.5;100-0;555_265AR_83.4;38,209917;0-100
950_95pV_41.6;0-100;950_61R_40.8;97,678281;100-0
950_59BpV_40.8;100-0;950_61R_40.8;2,342846;0-100
478_1239pV_1.7;0-100;478_1227BL_1.8;57,526946;100-0
478_1227BpV_1.8;0-100;478_1227BL_1.8;40,949938;0-100
485_58AqV_100.9;100-0;485_51AL_100.8;56,336476;100-0
485_51AqV_100.8;0-100;485_51AL_100.8;43,648615;0-100
478_1227BqV_1.8;0-100;478_1227AR_1.7;58,876326;100-0
478_1227ApV_1.7;0-100;478_1227AR_1.7;41,665963;0-100
478_1329qV_2.0;100-0;478_1339AL_2.0;40,291802;0-100
478_1339BpV_2.1;0-100;478_1339AL_2.0;58,579978;100-0
555_263ApV_83.4;0-100;555_263AR_83.4;33,896993;0-100
555_263BqV_83.5;0-100;555_263AR_83.4;64,431024;100-0
586_2537BpV_80.4;0-100;586_2537BL_80.4;41,569978;0-100
586_2527BpV_80.3;100-0;586_2537BL_80.4;58,432134;100-0
586_2527BqV_80.3;100-0;586_2539AL_80.3;41,314487;0-100
586_2539BpV_80.4;0-100;586_2539AL_80.3;58,685513;100-0
586_2515BpV_80.3;0-100;586_2515BL_80.3;41,571694;0-100
586_2509BpV_80.2;100-0;586_2515BL_80.3;58,439314;100-0
606_99pV_0.9;100-0;606_101AR_0.8;42,052056;0-100
606_101BqV_0.9;0-100;606_101AR_0.8;53,576285;100-0
555_223BpV_83.4;100-0;555_229AR_83.4;9,587302;0-100
555_229BqV_83.6;0-100;555_229AR_83.4;90,077049;100-0
506_149pV_44.2;0-100;506_99AR_44.0;90,896873;100-0
506_95BpV_44.0;100-0;506_99AR_44.0;10,432415;0-100
504_51BqV_18.2;100-0;504_59AL_18.2;39,029378;0-100
504_61BqV_18.3;0-100;504_59AL_18.2;60,682982;100-0
542_1227qV_29.8;100-0;542_1229AL_29.7;5,889302;0-100
542_1277BqV_30.0;0-100;542_1229AL_29.7;94,450462;100-0
506_571ApV_43.7;0-100;506_569AL_43.6;62,047498;100-0
506_569AqV_43.6;0-100;506_569AL_43.6;39,11108;0-100
586_2525BpV_80.3;100-0;586_2541AR_80.3;41,313299;0-100
586_2541BqV_80.4;0-100;586_2541AR_80.3;58,686701;100-0
026_233BqV_26.0;0-100;026_233AR_26.0;53,063079;100-0
026_231BpV_26.0;100-0;026_233AR_26.0;43,290981;0-100
527_113BpV_17.4;0-100;527_113AL_17.3;55,386577;100-0
527_111qV_17.4;100-0;527_113AL_17.3;42,763927;0-100
514_157qV_16.5;100-0;514_159AR_16.5;42,560315;0-100
514_159BpV_16.4;0-100;514_159AR_16.5;58,369201;100-0
478_1121pV_0.7;0-100;478_1027R_0.1;96,388542;100-0
478_1023BpV_0.2;100-0;478_1027R_0.1;3,609779;0-100
950_109BqV_41.8;0-100;950_109AR_41.8;59,804164;100-0
950_105pV_41.8;100-0;950_109AR_41.8;38,126404;0-100
950_1019pV_39.9;0-100;950_55BR_40.8;98,178316;100-0
950_55BqV_40.8;0-100;950_55BR_40.8;1,698036;0-100
543_171BpV_45.3;0-100;543_171AL_45.2;61,704977;100-0
543_169BqV_45.3;100-0;543_171AL_45.2;39,412729;0-100
026_259qV_26.9;100-0;026_261AL_26.9;39,455877;0-100
026_261BpV_27.0;0-100;026_261AL_26.9;61,321785;100-0
123_63BpV_20.0;100-0;123_65AR_20.0;37,061778;0-100
123_65BqV_20.0;0-100;123_65AR_20.0;59,337204;100-0
123_85qV_20.7;0-100;123_67L_20.0;97,562085;100-0
123_65BqV_20.0;100-0;123_67L_20.0;2,336071;0-100
560_1237BpV_24.9;0-100;560_1237BR_24.9;41,053518;0-100
560_1235BpV_24.9;100-0;560_1237BR_24.9;59,684751;100-0
588_842AqV_2.1;0-100;588_842AL_2.1;26,447749;0-100
588_845ApV_2.2;0-100;588_842AL_2.1;71,336931;100-0
543_177BqV_45.5;0-100;543_177BR_45.5;13,747803;0-100
543_183BpV_45.4;100-0;543_177BR_45.5;86,556338;100-0
618_121BpV_50.9;0-100;618_121AR_51.1;87,798511;100-0
924_349ApV_36.2;0-100;924_349AR_36.2;35,613328;0-100
924_353ApV_36.2;100-0;924_349AR_36.2;66,173612;100-0
924_359ApV_36.4;0-100;924_355AR_36.2;90,363988;100-0
924_355ApV_36.2;0-100;924_355AR_36.2;8,997826;0-100
502_273qV_101.0;0-100;502_253L_100.5;96,560937;100-0
502_251BqV_100.5;100-0;502_253L_100.5;3,469945;0-100
618_185ApV_50.8;100-0;618_195AR_50.9;63,330838;100-0
618_187BqV_50.8;100-0;618_195AR_50.9;37,827116;0-100
026_259qV_26.9;0-100;026_235L_26.0;98,251643;100-0
026_233BqV_26.0;100-0;026_235L_26.0;1,838653;0-100
545_85BpV_22.4;0-100;545_79AR_22.3;85,871425;100-0
545_77pV_22.3;100-0;545_79AR_22.3;13,935194;0-100
531_2581pV_34.6;100-0;531_2583R_34.6;37,771384;0-100
531_2585qV_34.7;0-100;531_2583R_34.6;63,000935;100-0
550_41BpV_25.3;100-0;550_43AR_25.3;4,76954;0-100
550_83BpV_25.7;0-100;550_43AR_25.3;95,333814;100-0
550_41BqV_25.3;100-0;550_43AL_25.3;41,820752;0-100
550_43BpV_25.4;0-100;550_43AL_25.3;59,466671;100-0
924_361ApV_36.5;0-100;924_357BR_36.4;62,350939;100-0
924_357ApV_36.4;100-0;924_357BR_36.4;37,336664;0-100
924_345ApV_36.0;100-0;924_341AR_36.0;62,662941;100-0
924_341ApV_36.0;0-100;924_341AR_36.0;37,802546;0-100
803_53AqV_103.3;100-0;803_52AR_103.2;63,01741;100-0
803_52ApV_103.2;0-100;803_52AR_103.2;37,648563;0-100
620_35BqV_41.9;0-100;620_35AR_41.8;59,399243;100-0
620_33pV_41.9;100-0;620_35AR_41.8;40,686249;0-100
927_3071BqV_905.5;100-0;927_3075AL_905.4;38,567761;0-100
927_3077BqV_905.5;0-100;927_3075AL_905.4;59,446273;100-0
950_349pV_17.5;0-100;950_349R_17.5;38,668539;0-100
950_351qV_17.5;100-0;950_349R_17.5;61,343713;100-0
620_81BpV_42.3;0-100;620_81AL_42.2;52,970484;100-0
620_77BqV_42.3;100-0;620_81AL_42.2;46,276609;0-100
545_79BqV_22.3;100-0;545_81AL_22.3;41,329692;0-100
545_81BpV_22.4;0-100;545_81AL_22.3;58,652385;100-0
545_91BpV_22.4;0-100;545_91AL_22.3;59,021708;100-0
545_81BqV_22.4;100-0;545_91AL_22.3;41,490907;0-100
545_223BqV_23.8;100-0;545_225AL_23.7;46,579425;0-100
927_3007BqV_905.4;100-0;927_3051AL_905.3;32,626278;0-100
927_3007BqV_905.4;0-100;927_3007AR_905.3;68,225169;100-0
927_3007BpV_905.4;0-100;927_3007BL_905.4;31,670079;0-100
525_982ApV_78.2;100-0;525_982BL_78.2;29,224202;0-100
525_982ApV_78.2;0-100;525_979V_78.2;4,116557;100-0
522_149BpV_57.4;100-0;522_151R_57.4;92,008212;0-100
522_149BpV_57.4;0-100;522_149BL_57.4;8,331218;0-100
522_149BqV_57.4;0-100;522_149AR_57.3;68,556165;100-0
603_151BpV_3.4;0-100;603_151BL_3.4;3,976545;0-100
603_151BqV_3.4;100-0;603_185L_3.4;50,819458;0-100
588_341BqV_1.1;100-0;588_343L_1.1;18,086605;0-100
588_341BqV_1.1;0-100;586_337AL_81.5;95,877209;100-0
525_961AqV_78.6;100-0;525_961BR_78.6;53,416554;0-100
525_961AqV_78.6;0-100;525_960L_78.7;69,126736;100-0
525_961ApV_78.6;100-0;525_961BL_78.6;97,621712;0-100
525_961ApV_78.6;0-100;525_483R_79.0;96,087575;100-0
950_9pV_6.4;100-0;950_11L_6.4;20,296044;0-100
950_9pV_6.4;0-100;950_9R_6.4;93,857735;0-100
950_125qV_7.1;100-0;950_127L_7.1;58,082182;0-100
950_121qV_7.1;100-0;950_123L_7.1;2,47637;0-100
924_3263BpV_34.3;100-0;924_2321AV_34.5;93,429277;100-0
924_3263BpV_34.3;0-100;924_3263BL_34.3;8,270575;0-100
950_301pV_16.2;100-0;950_303AR_16.2;29,409854;0-100
950_301pV_16.2;0-100;470_251V_100.5;98,58929;100-0
514_85BqV_17.2;100-0;514_91AR_17.3;9,74334;0-100
514_85BpV_17.2;0-100;514_77AL_17.4;89,664763;100-0
514_85AqV_17.3;100-0;514_61BV_17.3;72,932195;100-0
514_85AqV_17.3;0-100;514_85AR_17.3;7,900389;0-100
514_85ApV_17.3;100-0;514_77BV_17.3;74,008411;100-0
520_121qV_0.5;100-0;520_123AL_0.5;20,246581;0-100
520_121qV_0.5;0-100;520_57R_0.1;95,606162;100-0
520_133qV_0.6;0-100;520_133R_0.6;5,873187;0-100
520_133pV_0.6;0-100;520_131V_0.6;36,366501;100-0
508_2013pV_90.3;100-0;508_2011L_90.2;83,18238;100-0
508_2013pV_90.3;0-100;508_2013R_90.3;1,758002;0-100
536_297BqV_61.5;100-0;536_299L_61.4;10,016163;0-100
536_297BqV_61.5;0-100;536_297AR_61.4;85,068131;100-0
536_307BpV_61.5;100-0;536_309AR_61.5;1,366094;0-100
536_307BpV_61.5;0-100;536_307AL_61.4;78,029351;100-0
555_243BpV_83.5;100-0;555_281AR_83.5;7,407466;0-100
555_243BpV_83.5;0-100;555_243AL_83.5;67,043442;100-0
555_243BqV_83.5;0-100;555_225AL_83.3;91,937121;100-0
817_1247pV_200.2;0-100;817_1245V_200.1;39,486529;100-0
603_149BqV_3.4;100-0;603_151AL_3.4;10,396333;0-100
531_2589qV_34.7;100-0;531_2595L_34.7;5,025849;0-100
528_39BpV_28.8;0-100;528_39AL_28.7;65,639345;100-0
536_309BqV_61.5;100-0;536_311AL_61.5;48,174236;0-100
520_135BpV_0.7;100-0;520_137R_0.7;62,148377;0-100
539_55BqV_79.2;100-0;539_57AL_79.2;16,653543;0-100
