PUIC;GEOCODE;GEOSUBCODE;KM_GEOCODE;X;Y;OBJECTTYPE;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
03339269-aa91-47c6-a8f3-7ac3b7fdefb6;017;017__;69.609978;189271.057;491260.337;Wissel;20211201;C;18
0341a689-b521-47c1-9a13-28fdd350cf53;468;468_g;400.447958;88638.323;433034.495;Wissel;20211201;C;18
03503594-b225-4334-90da-72ae4edcf36f;017;017__;32.03847;162055.646;470203.419;Wissel;20211201;C;18
036d3191-adbe-497c-9b14-bf5dae064576;051;051__;50.630655;148279.849;408627.481;Wissel;20211201;C;18
037b4f3c-f805-40c3-a69f-1a6838421337;127;127_a;37.524639;61640.207;386809.051;Wissel;20211201;C;18
0381c181-f23d-4edb-8cea-6107ff7e417e;624;624_a;32.605925;107760.706;447934.48;Wissel;20211201;C;18
0382d863-7e9b-43db-9080-e26e5dd57b2e;506;506_b;42.904684;152546.822;463426.882;Wissel;20211201;C;18
03852bb6-77f8-4a8d-9573-7cc3e7f5446c;542;542_a;29.863356;104966.418;424620.94;Wissel;20211201;C;18
03853a1a-0608-4f79-825b-772bf4176317;486;486_b;75.365284;117438.666;491068.195;Wissel;20211201;C;18
0387b9b7-57d6-40b6-ba43-2b71f65f11ac;586;586__;81.103786;122130.771;487847.085;Wissel;20211201;C;18
038f7ed3-0ba4-4717-b9f0-0f1ef454b4a3;508;508__;90.780332;189197.004;444401.98;Wissel;20211201;C;18
0399f0c5-7253-4da4-a4e1-b51600a65c95;817;817_a;115.713971;40703.084;384908.871;Wissel;20211201;C;18
03a1c388-5d6e-409b-a12a-b2d72ab0590a;531;531_d;1.78708;134482.125;456609.665;Wissel;20211201;C;18
03be5327-2b82-446e-aab0-36f5b3942a1d;132;132__;49.150504;94571.021;440048.663;Wissel;20211201;C;18
03c1d2fe-be57-4bc2-8b5d-ca41d7bfc457;087;087__;24.260052;139808.429;474882.112;Wissel;20211201;C;18
03c2fbe6-a4b4-488b-8421-1b1d54d091dd;801;801_b;101.089461;101570.367;410387.237;Wissel;20211201;C;18
03c7925f-5cdc-4d9a-b4d2-fef1a9958249;035;035__;51.446099;151199.036;453060.623;Wissel;20211201;C;18
03cfe399-52d5-4d3e-a817-283c23f19f89;506;506_b;43.534085;152979.027;462981.212;Wissel;20211201;C;18
03e31462-066d-4075-b114-08a13eb0c0b0;924;924_a;35.924614;99846.156;427837.687;Wissel;20211201;C;18
03e5f12e-22ad-4f3e-8e61-0400ea292b18;470;470_e;202.004554;79319.63;433131.571;Wissel;20211201;C;18
03f0ac1c-6c24-4a36-a1a0-9da245391ac9;950;950_a;11.839006;85206.043;432626.479;Wissel;20211201;C;18
03f69eb6-266a-4a82-9b0c-ae7947af888c;105;105__;29.332099;111006.932;447580.199;Wissel;20211201;C;18
03fb124a-a9f1-442f-af95-9f0c2bbe609f;522;522_b;57.777144;108485.65;504005.506;Wissel;20211201;C;18
0407c5e4-8cc7-4f25-a0af-05d277bedbdd;618;618_c;58.531722;161045.966;383691.884;Wissel;20211201;C;18
0410cf22-5564-434d-a5f8-342dfe28def9;506;506_b;43.514003;153001.141;463059.823;Wissel;20211201;C;18
0420600b-4f5d-41cf-813c-ea0c4fdbfaba;479;479_a;304.330497;57837.722;440305.236;Wissel;20211201;C;18
04248292-16ad-46a8-acf1-fb8f58619945;543;543_c;44.92794;250842.158;475827.34;Wissel;20211201;C;18
043a899c-78b9-4f40-b9c9-f03f7e18c50f;924;924_a;37.045114;98958.598;428552.121;Wissel;20211201;C;18
043d7859-ffa8-447b-94c7-216d6a632538;517;517_b;69.447372;209889.417;375016.803;Wissel;20211201;C;18
044a32e6-7cc2-4b4d-907d-6e32d2ff35b9;002;002__;51.388468;205989.937;585802.534;Wissel;20211201;C;18
044b2e26-8760-4a3f-aaa5-8f245921a7ee;485;485_d;100.590325;118772.028;490878.007;Wissel;20211201;C;18
044dfe2c-6415-48ce-96cc-3ca6c4cb4bab;433;433__;5.404193;184480.124;338866.511;Wissel;20211201;C;18
046947ab-e380-4d9e-8beb-d758b64398ae;531;531_c;34.69097;135849.553;456106.358;Wissel;20211201;C;18
046e1b86-e3aa-4d27-9e0f-4f1272ce308f;614;614_c;48.41503;148381.257;410833.602;Wissel;20211201;C;18
0472640b-0b2a-449b-b17b-663a94c53ba5;127;127_a;68.362485;31979.392;390965.008;Wissel;20211201;C;18
0483fa42-a6d4-45e9-989f-3bb44d93e126;506;506_b;44.245415;153715.761;462899.315;Wissel;20211201;C;18
04895072-29bf-49b1-beae-0a57074d8bdf;814;814_a;100.698326;177817.204;320511.973;Wissel;20211201;C;18
048c467d-1ce2-4287-baa1-2da35acf72cc;534;534_b;45.514336;93109.495;464715.551;Wissel;20211201;C;18
0490b16d-993d-4762-bbd1-fb50cc224d62;075;075__;57.087691;107983.344;504481.242;Wissel;20211201;C;18
0491a1b3-488b-4e5e-a238-bc7d241a9d00;526;526_a;4.010692;124164.557;485731.776;Wissel;20211201;C;18
