VERKANTING_ID;VERK_LRS_VAN;VERK_LRS_TOT;SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;DATUM_PUBLICATIE;DATUM_GOEDGEKEURD;ELEMENTTYPE;VERKANTING_VAN;VERKANTING_TOT;OVERGANGSHELLING;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
517#47#69.177191;0;286043;7ac65c54-bdf5-e952-238b-f9ba88dd6649;25989;312032;20211029;20210603;Constant;0;0;0.0;20211201;C;18
517#w223/225AT-SJ_225AT#0.324053;0;341;402c0dc1-a8b4-7a31-9e91-493bf4373cc7;23010;23351;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#64#0.467498;0;284039;402c0dc1-a8b4-7a31-9e91-493bf4373cc7;23351;307390;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#w95BV-w155AV#69.701305;0;298732;46a883da-30b2-0c54-7d73-ee31870f1c33;3900;302632;20211029;20150917;Constant;0;0;0.0;20211201;C;18
517#SJ_181L-w181L#0.014899;0;82;93b9f940-fc77-1fb0-bafd-0d2c384662e4;36471;36553;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#SJ_181L-w181L#69.835688;0;13001;93b9f940-fc77-1fb0-bafd-0d2c384662e4;36553;49554;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#SJ_181L-w181L#69.835688;13001;258386;27c2758a-d52c-33a8-168d-59e24cb9a1da;49554;294939;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#45#69.164334;0;256063;75d6126f-e845-55b6-4261-1a498f646fee;36499;292562;20211029;20210714;Constant;0;0;0.0;20211201;C;18
517#w79L-w141AV#69.459494;0;2912;67575a73-584b-4327-dbfd-d6315035b989;58138;61050;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#5a#69.606170;0;289617;67575a73-584b-4327-dbfd-d6315035b989;61050;350667;20211029;20191019;Constant;0;0;0.0;20211201;C;18
517#40#68.782466;0;316727;94fca0e2-d30a-a836-ef12-f86fef7f5537;4500;321227;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#SJ_207L-w207L#0.209696;0;31;bdf0b9b3-b20a-dec3-cd12-fdef76eab3fc;36493;36524;20211029;20150916;Constant;0;0;0.0;20211201;C;18
517#6#0.116685;0;181309;bdf0b9b3-b20a-dec3-cd12-fdef76eab3fc;36524;217833;20211029;20191018;Constant;0;0;0.0;20211201;C;18
517#w919R-SJ_919R#69.070388;0;2477;8bb44a4c-6113-85ea-e2c2-4111645468ce;34064;36541;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#44#69.182495;0;213086;8bb44a4c-6113-85ea-e2c2-4111645468ce;36541;249627;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#5b#69.939779;0;120325;bc662c6e-53b5-afaf-83d6-877d4868738b;4500;124825;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#5b#69.939779;120325;219184;7222bddd-11e9-7669-d3e2-e64fc9a24c34;124825;223684;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w143BV-w199BL#0.110229;0;113;7222bddd-11e9-7669-d3e2-e64fc9a24c34;223684;223797;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w79R-w99BR#69.459426;0;2659;d5b97999-a8a4-e4e0-7c1f-30eba9ac7aa1;58132;60791;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w79R-w99BR#69.488894;0;56124;d5b97999-a8a4-e4e0-7c1f-30eba9ac7aa1;60791;116915;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#w79R-w99BR#69.518405;0;2746;d5b97999-a8a4-e4e0-7c1f-30eba9ac7aa1;116915;119661;20211029;20151006;Constant;0;0;0.0;20211201;C;18
517#919L-ES_919L#69.069829;0;2399;32fba904-9066-5e6f-1318-ae9202e98954;34087;36486;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#919L-ES_919L#69.124669;0;114859;32fba904-9066-5e6f-1318-ae9202e98954;36486;151345;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#SJ_77BL-w77BL#69.420527;0;2419;25c69d3f-0aa9-6bf1-ebab-72c7f4747bfc;34065;36484;20211029;20151111;Constant;0;0;0.0;20211201;C;18
517#50#69.340126;0;140943;25c69d3f-0aa9-6bf1-ebab-72c7f4747bfc;36484;177427;20211029;20151111;Constant;0;0;0.0;20211201;C;18
