PUIC;REF_OBJECT_BEGIN_NAAM;REF_OBJECT_BEGIN_PUIC;KANTCODE_SPOORTAK_BEGIN;REF_OBJECT_EIND_NAAM;REF_OBJECT_EIND_PUIC;KANTCODE_SPOORTAK_EIND;LRS_VAN;LRS_TOT;LENGTE_GEOM;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
98b62c37-29ee-4a83-8061-e72826f16f04;185;268245d6-9af7-4c34-abea-4b48ba181c77;L;183/199A;58f02946-7cce-4084-9714-8f346d91a866;T;0;46898;46898;20211201;C;18
98bdf742-e822-4fb5-a4de-73da033e5d8e;913;111eec92-6b29-4f9f-8724-a18c06211f8e;L;917;6ef3728d-e066-4330-8498-256423bd1999;V;0;42563;42563;20211201;C;18
98c61706-03c9-473f-9b20-cd5b32023a7a;939A/939B;641e710f-32c9-4b4c-bb8d-2388f0f19839;T;SJ_939BT;3473df7e-e3e6-42f0-8dbe-2b8946a51495;;0;108999;108999;20211201;C;18
98c7c5d0-fc9e-42fd-b5ad-97159a4cf72a;06-07;b80fe365-c98b-4782-8600-4d80a8cb9b49;L;3317;918bdbcf-5729-4ad7-89a3-959639b23fd9;L;0;934323;934323;20211201;C;18
98cbb0f9-2101-4cad-b869-702350767c5f;217;6b857b8a-5d3b-4c05-8299-a6a7393304b8;R;235;39f0c8d4-978f-4ecf-8e3b-ae0662c31229;L;0;704581;704581;20211201;C;18
98d06aa6-f2ec-4d95-9116-ea173d1f2390;227;0c0a5da0-90d9-46b4-b556-aa0f1f7b7cc4;L;229;3aafa012-ca5c-451f-8bcc-d2ff223612f9;V;0;27699;27699;20211201;C;18
98d4f9a9-a5fd-4992-927b-d8df65e1e85b;289A;efe13cdc-dd56-442d-bbde-9f739ced0458;R;315;efbf9fa4-d93d-40cb-819c-1b76e7371b2d;L;0;123866;123866;20211201;C;18
98dccb3e-58fb-47f7-9a6c-fb91db004ec0;907;c2d8a321-881b-4849-aaa1-83b740993621;L;910;0a01e1b6-f2d6-440e-b599-66815438a655;R;0;579482;579482;20211201;C;18
98e4872f-e9f4-47e5-b8b5-fe34110613ed;20;d2ce809d-0735-4634-8873-73edea9b4b0f;R;21;6e6655c1-7d57-4da6-8cea-d69cfa17e819;V;0;31338;31338;20211201;C;18
98ebe1f7-b8a8-4608-8a4c-f6d1e8911e5a;279A;dd259ec8-03ee-4e80-9aa1-84e0420e19ad;R;279Ba;615d75d2-4006-491c-b4e8-dc07b3257619;P;0;31139;31139;20211201;C;18
98f02394-5e48-455c-9a5a-5f7d4a9436f6;2825;450fbaee-55a1-4eff-82f9-3157fa93d55c;V;4083;7d9ef463-66a9-4b17-9cdf-b8d45b0bb18f;L;0;1493080;1493080;20211201;C;18
98f60b7b-aba5-4d6b-969a-22ca16372e9f;47;10cc69cb-1f68-4006-859e-3186cbf1c663;R;57A;53cb7609-1a96-438a-a3a3-eaee483210c4;V;0;832660;832660;20211201;C;18
