ID;SPOORTAK_IDENTIFICATIE;RAILDEMPER_TYPE;SPOORTAK_LRS_VAN;SPOORTAK_LRS_TOT;DATUM_VERWERKING;
215;123_61AL_19.8;Glued Tuned, type Corus 54E1;0,751;1,651;22-6-2015;
216;123_63AL_19.9;Glued Tuned, type Corus 54E1;0,577;1,577;22-6-2015;
217;124_195L_4.5;Schrey & Veit, VICON-AMSA 5RQ;9,439;9,664;22-6-2015;
218;124_195L_4.5;Schrey & Veit, VICON-AMSA 5RQ;12,739;13,114;22-6-2015;
219;124_197V_4.6;Schrey & Veit, VICON-AMSA 5RQ;9,359;9,584;22-6-2015;
220;124_197V_4.6;Schrey & Veit, VICON-AMSA 5RQ;12,659;13,034;22-6-2015;
221;127_295AR_8.2;Schrey & Veit, VICON-AMSA 5RQ;3,747;3,962;26-6-2015;
222;127_303V_11.2;Schrey & Veit, VICON-AMSA 5RQ;0,788;1,012;1-7-2015;
223;127_307AL_12.2;Schrey & Veit, VICON-AMSA 5RQ;0,001;0,064;1-7-2015;
224;127_309BV_12.3;Schrey & Veit, VICON-AMSA 5RQ;0,001;0,012;1-7-2015;
225;127_311R_12.3;Schrey & Veit, VICON-AMSA 5RQ;0,032;0,777;1-7-2015;
226;127_313L_12.3;Schrey & Veit, VICON-AMSA 5RQ;0,033;0,679;26-6-2015;
227;127_313L_12.3;Schrey & Veit, VICON-AMSA 5RQ;0,707;0,937;26-6-2015;
228;127_323V_13.1;Schrey & Veit, VICON-AMSA 5RQ;0,001;0,112;1-7-2015;
229;127_325AL_13.2;Schrey & Veit, VICON-AMSA 5RQ;0,001;0,151;1-7-2015;
230;127_329AR_13.3;Schrey & Veit, VICON-AMSA 5RQ;0,036;0,633;26-6-2015;
231;127_329AR_13.3;Schrey & Veit, VICON-AMSA 5RQ;0,677;0,939;26-6-2015;
232;127_329AR_13.3;Schrey & Veit, VICON-AMSA 5RQ;0,953;1,278;26-6-2015;
233;127_329AR_13.3;Schrey & Veit, VICON-AMSA 5RQ;2,273;2,320;26-6-2015;
234;127_329BV_13.3;Schrey & Veit, VICON-AMSA 5RQ;0,001;0,876;1-7-2015;
235;127_329BV_13.3;Schrey & Veit, VICON-AMSA 5RQ;0,881;1,071;1-7-2015;
236;127_329BV_13.3;Schrey & Veit, VICON-AMSA 5RQ;1,131;1,230;2-7-2015;
237;127_329BV_13.3;Schrey & Veit, VICON-AMSA 5RQ;2,152;2,188;2-7-2015;
238;127_349AR_27.8;Schrey & Veit, VICON-AMSA 5RQ;0,093;0,112;26-6-2015;
239;127_351AL_27.9;Schrey & Veit, VICON-AMSA 5RQ;0,031;0,410;1-7-2015;
240;127_351AL_27.9;Schrey & Veit, VICON-AMSA 5RQ;2,924;4,820;1-7-2015;
241;127_351BV_27.9;Schrey & Veit, VICON-AMSA 5RQ;0,003;0,195;26-6-2015;
242;127_351BV_27.9;Schrey & Veit, VICON-AMSA 5RQ;0,201;0,353;26-6-2015;
243;127_351BV_27.9;Schrey & Veit, VICON-AMSA 5RQ;2,857;2,888;26-6-2015;
244;127_351BV_27.9;Schrey & Veit, VICON-AMSA 5RQ;3,018;3,536;26-6-2015;
245;127_351BV_27.9;Schrey & Veit, VICON-AMSA 5RQ;3,545;3,801;30-6-2015;
246;127_351BV_27.9;Schrey & Veit, VICON-AMSA 5RQ;3,849;4,753;30-6-2015;
247;127_351BV_27.9;Schrey & Veit, VICON-AMSA 5RQ;5,290;5,347;30-6-2015;
248;127_359AL_37.4;Schrey & Veit, VICON-AMSA 5RQ;0,200;0,260;2-7-2015;
249;127_361L_37.5;Schrey & Veit, VICON-AMSA 5RQ;0,122;0,170;30-6-2015;
250;127_375AR_38.5;Clipped Tuned, type Corus 54E1;8,654;8,775;30-6-2015;
251;127_375AR_38.5;Clipped Tuned, type Corus 54E1;9,114;9,396;30-6-2015;
252;127_375AR_38.5;Clipped Tuned, type Corus 54E1;9,438;10,018;30-6-2015;
253;127_375BV_38.5;Schrey & Veit, VICON-AMSA 5RQ;5,630;5,640;2-7-2015;
254;127_375BV_38.5;Clipped Tuned, type Corus 54E1;9,058;9,803;1-7-2015;
255;127_435AR_54.0;Schrey & Veit, VICON-AMSA 5RQ;2,020;2,128;30-6-2015;
256;127_435AR_54.0;Schrey & Veit, VICON-AMSA 5RQ;3,742;4,035;30-6-2015;
257;127_435AR_54.0;Schrey & Veit, VICON-AMSA 5RQ;4,731;4,905;30-6-2015;
258;127_435BV_54.0;Schrey & Veit, VICON-AMSA 5RQ;1,970;2,068;1-7-2015;
259;128_25AR_12.6;Clipped Tuned, type Corus 54E1;0,433;0,670;22-6-2015;
260;128_25BV_12.8;Clipped Tuned, type Corus 54E1;0,248;0,286;22-6-2015;
261;128_25BV_12.8;Clipped Tuned, type Corus 54E1;0,286;0,400;22-6-2015;
262;128_27L_12.7;Clipped Tuned, type Corus 54E1;0,380;0,630;22-6-2015;
263;128_33V_12.8;Clipped Tuned, type Corus 54E1;0,229;0,479;22-6-2015;
264;128_35AL_12.7;Clipped Tuned, type Corus 54E1;0,422;0,644;22-6-2015;
265;128_35BV_12.8;Clipped Tuned, type Corus 54E1;0,248;0,346;22-6-2015;
266;132_295AL_40.4;Clipped Tuned, type Corus 54E1;0,945;1,970;22-6-2015;
267;132_295AL_40.4;Clipped Tuned, type Corus 54E1;2,550;4,670;5-4-2016;
268;132_295BV_40.4;Clipped Tuned, type Corus 54E1;0,885;4,330;22-6-2015;
269;135_2029V_40.4;Clipped Tuned, type Corus 54E1;1,083;1,933;22-6-2015;
270;135_2029V_40.4;Clipped Tuned, type Corus 54E1;1,933;2,000;22-6-2015;
271;135_2035V_40.5;Clipped Tuned, type Corus 54E1;1,001;1,851;22-6-2015;
272;135_2035V_40.5;Clipped Tuned, type Corus 54E1;1,852;1,929;25-6-2015;
273;135_273BV_22.2;Schrey & Veit, VICON-AMSA 5RQ;16,022;16,988;25-6-2015;
274;135_275BV_22.2;Schrey & Veit, VICON-AMSA 5RQ;16,054;16,852;25-6-2015;
