SPOORTAK_IDENTIFICATIE;TRAJECT;TRJ_VAN;TRJ_NAAR;SPOORLIJNNAAM;N_SP_VAN;N_SP_NAAR;RICHTING_IN_SPOORLIJN;SPOORLIJN_VAN;SPOORLIJN_TOT;SPOORTAK_VAN;SPOORTAK_TOT;BEGIN_TRJ;EIND_TRJ;BEGIN_WISSEL_TRJ
545_77qV_22.3;;;;;;;;;;;;;;
926_2069ApV_0.8;;;;;;;;;;;;;;
073_1205AR_21.6;;;;;;;;;;;;;;
553_207R_21.1;;;;;;;;;;;;;;
536_311BpV_61.6;;;;;;;;;;;;;;
555_333BV_84.2;;;;;;;;;;;;;;
527_85AL_17.1;;;;;;;;;;;;;;
486_913V_75.9;;;;;;;;;;;;;;
468_50V_100.6;;;;;;;;;;;;;;
588_827L_1.7;;;;;;;;;;;;;;
586_93R_80.5;;;;;;;;;;;;;;
501_928L_80.6;;;;;;;;;;;;;;
520_1004R_1.0;;;;;;;;;;;;;;
009_143AR_154.0;;;;;;;;;;;;;;
063_31AR_13.7;;;;;;;;;;;;;;
514_141ApV_16.6;;;;;;;;;;;;;;
076_1617qV_11.6;;;;;;;;;;;;;;
564_957L_23.7;;;;;;;;;;;;;;
486_956R_75.0;;;;;;;;;;;;;;
545_91BpV_22.4;;;;;;;;;;;;;;
940_361BV_43.2;;;;;;;;;;;;;;
125_1017AR_30.7;;;;;;;;;;;;;;
133_1103AR_18.3;;;;;;;;;;;;;;
527_37BV_16.6;;;;;;;;;;;;;;
478_1227ApV_1.7;;;;;;;;;;;;;;
478_1181L_0.8;;;;;;;;;;;;;;
098_3803R_27.3;;;;;;;;;;;;;;
517_95AL_69.5;;;;;;;;;;;;;;
163_161AL_43.5;;;;;;;;;;;;;;
618_869BV_50.4;;;;;;;;;;;;;;
608_23BL_87.8;;;;;;;;;;;;;;
605_1AR_33.4;;;;;;;;;;;;;;
654_405AL_49.6;;;;;;;;;;;;;;
470_202L_375.2;;;;;;;;;;;;;;
513_127AR_26.0;;;;;;;;;;;;;;
555_385R_84.3;;;;;;;;;;;;;;
617_1161V_39.6;;;;;;;;;;;;;;
478_1643L_2.2;;;;;;;;;;;;;;
520_802R_1.0;;;;;;;;;;;;;;
518_125qV_63.6;;;;;;;;;;;;;;
531_1251pV_34.5;;;;;;;;;;;;;;
555_249qV_83.5;;;;;;;;;;;;;;
624_151AL_31.8;;;;;;;;;;;;;;
555_321L_84.2;;;;;;;;;;;;;;
478_1643pV_2.2;;;;;;;;;;;;;;
924_937L_35.9;;;;;;;;;;;;;;
924_2309R_524.9;;;;;;;;;;;;;;
550_957AqV_25.2;;;;;;;;;;;;;;
011_822V_68.7;;;;;;;;;;;;;;
506_251AL_45.3;;;;;;;;;;;;;;
522_183BL_57.8;;;;;;;;;;;;;;
927_35L_904.5;;;;;;;;;;;;;;
543_173BpV_45.3;;;;;;;;;;;;;;
823_15V_300.8;;;;;;;;;;;;;;
586_139AV_80.7;;;;;;;;;;;;;;
545_91BqV_22.4;;;;;;;;;;;;;;
553_245AL_21.4;;;;;;;;;;;;;;
520_201BV_0.9;;;;;;;;;;;;;;
514_909L_18.0;;;;;;;;;;;;;;
586_89BV_80.6;;;;;;;;;;;;;;
586_55R_80.4;;;;;;;;;;;;;;
520_131L_0.6;;;;;;;;;;;;;;
555_229BL_83.6;;;;;;;;;;;;;;
115_127BpV_22.4;;;;;;;;;;;;;;
009_7AL_114.2;;;;;;;;;;;;;;
924_3273BL_34.3;;;;;;;;;;;;;;
555_253L_83.4;;;;;;;;;;;;;;
531_845R_33.5;;;;;;;;;;;;;;
831_902L_101.9;;;;;;;;;;;;;;
143_75V_17.2;;;;;;;;;;;;;;
506_135BV_44.1;;;;;;;;;;;;;;
520_213L_1.1;;;;;;;;;;;;;;
479_2063V_301.8;;;;;;;;;;;;;;
543_171BqV_45.3;;;;;;;;;;;;;;
531_885L_33.6;;;;;;;;;;;;;;
011_71V_68.9;;;;;;;;;;;;;;
553_235BqV_21.4;;;;;;;;;;;;;;
163_161AR_43.5;;;;;;;;;;;;;;
542_1165L_29.1;;;;;;;;;;;;;;
478_1149R_0.7;;;;;;;;;;;;;;
586_239BL_81.1;;;;;;;;;;;;;;
531_1171AR_101.5;;;;;;;;;;;;;;
531_857R_33.6;;;;;;;;;;;;;;
620_3BpV_41.7;;;;;;;;;;;;;;
542_1267AL_29.9;;;;;;;;;;;;;;
519_39AR_46.0;;;;;;;;;;;;;;
050_84V_6.3;;;;;;;;;;;;;;
586_139BpV_80.8;;;;;;;;;;;;;;
163_955BV_44.3;;;;;;;;;;;;;;
544_1129AL_1.2;;;;;;;;;;;;;;
823_7V_101.0;;;;;;;;;;;;;;
924_3223AL_34.0;;;;;;;;;;;;;;
603_143BqV_3.3;;;;;;;;;;;;;;
553_225AqV_21.3;;;;;;;;;;;;;;
926_2012R_1.5;;;;;;;;;;;;;;
513_123AL_26.1;;;;;;;;;;;;;;
478_1149V_0.7;;;;;;;;;;;;;;
486_943L_76.0;;;;;;;;;;;;;;
520_127BqV_0.7;;;;;;;;;;;;;;
532_1061AR_11.8;;;;;;;;;;;;;;
560_41BV_24.9;;;;;;;;;;;;;;
115_31AR_6.0;;;;;;;;;;;;;;
479_2003L_300.7;;;;;;;;;;;;;;
614_401BV_48.7;;;;;;;;;;;;;;
470_180L_305.4;;;;;;;;;;;;;;
478_921V_101.6;;;;;;;;;;;;;;
486_915BL_76.0;;;;;;;;;;;;;;
522_173AL_57.7;;;;;;;;;;;;;;
609_41BV_28.8;;;;;;;;;;;;;;
534_1021BL_45.1;;;;;;;;;;;;;;
478_1591R_1.9;;;;;;;;;;;;;;
564_1351L_23.8;;;;;;;;;;;;;;
513_57R_25.2;;;;;;;;;;;;;;
478_1543V_1.8;;;;;;;;;;;;;;
926_15BV_1.2;;;;;;;;;;;;;;
525_437BV_78.0;;;;;;;;;;;;;;
054_1009AR_57.5;;;;;;;;;;;;;;
107_903L_22.9;;;;;;;;;;;;;;
478_1515L_0.8;;;;;;;;;;;;;;
076_1633BR_11.9;;;;;;;;;;;;;;
553_309BpV_22.3;;;;;;;;;;;;;;
080_3421L_11.2;;;;;;;;;;;;;;
305_52L_18.0;;;;;;;;;;;;;;
115_125BV_22.6;;;;;;;;;;;;;;
555_201L_83.3;;;;;;;;;;;;;;
107_183AL_19.3;;;;;;;;;;;;;;
586_211BV_81.0;;;;;;;;;;;;;;
133_1165AV_19.8;;;;;;;;;;;;;;
950_1L_205.9;;;;;;;;;;;;;;
504_63AR_18.3;;;;;;;;;;;;;;
625_293R_16.0;;;;;;;;;;;;;;
626_45BL_33.0;;;;;;;;;;;;;;
542_1183BqV_29.3;;;;;;;;;;;;;;
504_55BpV_18.3;;;;;;;;;;;;;;
525_427L_77.8;;;;;;;;;;;;;;
924_913R_33.7;;;;;;;;;;;;;;
528_53V_29.0;;;;;;;;;;;;;;
524_267AL_70.5;;;;;;;;;;;;;;
926_2057R_0.8;;;;;;;;;;;;;;
009_85AL_137.7;;;;;;;;;;;;;;
054_1011BL_57.7;;;;;;;;;;;;;;
603_131BqV_3.2;;;;;;;;;;;;;;
098_3861L_29.0;;;;;;;;;;;;;;
132_962ApV_48.9;;;;;;;;;;;;;;
517_33L_69.0;;;;;;;;;;;;;;
927_9AV_904.3;;;;;;;;;;;;;;
924_3725V_36.7;;;;;;;;;;;;;;
506_571BL_43.7;;;;;;;;;;;;;;
131_10L_17.0;;;;;;;;;;;;;;
613_906V_76.0;;;;;;;;;;;;;;
924_353AR_36.2;;;;;;;;;;;;;;
545_71BV_22.3;;;;;;;;;;;;;;
586_2525AL_80.2;;;;;;;;;;;;;;
506_105BV_44.0;;;;;;;;;;;;;;
531_137BL_35.1;;;;;;;;;;;;;;
586_49pV_80.4;;;;;;;;;;;;;;
506_247AR_45.1;;;;;;;;;;;;;;
531_1343AR_34.6;;;;;;;;;;;;;;
617_1113AL_38.9;;;;;;;;;;;;;;
950_101L_6.8;;;;;;;;;;;;;;
506_193AL_44.5;;;;;;;;;;;;;;
531_1175R_100.9;;;;;;;;;;;;;;
609_93AL_27.6;;;;;;;;;;;;;;
924_08-09L_35.3;;;;;;;;;;;;;;
470_1102V_302.8;;;;;;;;;;;;;;
618_53AR_58.8;;;;;;;;;;;;;;
805_516L_100.2;;;;;;;;;;;;;;
624_221AL_32.8;;;;;;;;;;;;;;
478_1171R_0.8;;;;;;;;;;;;;;
545_81BpV_22.4;;;;;;;;;;;;;;
620_59V_42.2;;;;;;;;;;;;;;
501_27L_80.2;;;;;;;;;;;;;;
042_913R_20.5;;;;;;;;;;;;;;
524_269V_70.6;;;;;;;;;;;;;;
851_13R_100.1;;;;;;;;;;;;;;
553_209AR_21.2;;;;;;;;;;;;;;
163_271pV_44.5;;;;;;;;;;;;;;
135_205AR_11.7;;;;;;;;;;;;;;
534_1037BV_45.2;;;;;;;;;;;;;;
115_5R_4.9;;;;;;;;;;;;;;
606_87BV_0.7;;;;;;;;;;;;;;
524_285BV_71.2;;;;;;;;;;;;;;
950_115V_7.1;;;;;;;;;;;;;;
129_6R_29.2;;;;;;;;;;;;;;
924_3549BR_35.6;;;;;;;;;;;;;;
127_463R_73.1;;;;;;;;;;;;;;
927_3075BL_905.5;;;;;;;;;;;;;;
625_345AR_14.8;;;;;;;;;;;;;;
503_911L_42.8;;;;;;;;;;;;;;
536_219BV_60.4;;;;;;;;;;;;;;
620_908pV_42.4;;;;;;;;;;;;;;
050_463AL_4.2;;;;;;;;;;;;;;
950_851AR_12.0;;;;;;;;;;;;;;
512_445L_11.4;;;;;;;;;;;;;;
922_929R_18.1;;;;;;;;;;;;;;
603_1020L_3.7;;;;;;;;;;;;;;
076_1633BV_11.9;;;;;;;;;;;;;;
486_20R_0.4;;;;;;;;;;;;;;
564_958L_24.1;;;;;;;;;;;;;;
588_389L_2.6;;;;;;;;;;;;;;
553_315V_22.4;;;;;;;;;;;;;;
133_1163BpV_19.8;;;;;;;;;;;;;;
514_121AR_16.9;;;;;;;;;;;;;;
817_1221L_115.1;;;;;;;;;;;;;;
586_59AL_80.3;;;;;;;;;;;;;;
924_3333L_34.3;;;;;;;;;;;;;;
131_1L_24.5;;;;;;;;;;;;;;
586_235AL_81.0;;;;;;;;;;;;;;
047_317L_56.5;;;;;;;;;;;;;;
508_2053L_91.2;;;;;;;;;;;;;;
478_1589L_1.9;;;;;;;;;;;;;;
623_341R_17.7;;;;;;;;;;;;;;
437_968R_0.8;;;;;;;;;;;;;;
550_45R_25.3;;;;;;;;;;;;;;
163_1021V_43.6;;;;;;;;;;;;;;
209_4R_19.0;;;;;;;;;;;;;;
664_143AL_43.1;;;;;;;;;;;;;;
950_337BqV_17.4;;;;;;;;;;;;;;
564_1365L_23.8;;;;;;;;;;;;;;
514_33AL_17.6;;;;;;;;;;;;;;
502_257R_100.7;;;;;;;;;;;;;;
618_49BV_58.7;;;;;;;;;;;;;;
542_1151qV_29.0;;;;;;;;;;;;;;
506_45L_43.2;;;;;;;;;;;;;;
550_957ApV_25.2;;;;;;;;;;;;;;
555_237AR_83.4;;;;;;;;;;;;;;
555_229AR_83.4;;;;;;;;;;;;;;
528_47R_28.8;;;;;;;;;;;;;;
553_911R_21.4;;;;;;;;;;;;;;
553_217BpV_21.3;;;;;;;;;;;;;;
073_1107AL_1.1;;;;;;;;;;;;;;
545_203ApV_23.4;;;;;;;;;;;;;;
506_47AR_43.3;;;;;;;;;;;;;;
486_901ApV_75.4;;;;;;;;;;;;;;
514_967L_17.0;;;;;;;;;;;;;;
586_133BV_80.8;;;;;;;;;;;;;;
545_916AqV_21.9;;;;;;;;;;;;;;
927_3081R_905.5;;;;;;;;;;;;;;
555_257R_83.4;;;;;;;;;;;;;;
519_93AR_47.1;;;;;;;;;;;;;;
900_581L_200.9;;;;;;;;;;;;;;
564_957R_23.7;;;;;;;;;;;;;;
950_201L_11.7;;;;;;;;;;;;;;
133_1133AL_19.7;;;;;;;;;;;;;;
502_253L_100.5;;;;;;;;;;;;;;
603_85R_2.5;;;;;;;;;;;;;;
476_47V_200.4;;;;;;;;;;;;;;
522_217AL_58.0;;;;;;;;;;;;;;
586_2511BpV_80.3;;;;;;;;;;;;;;
486_916L_76.2;;;;;;;;;;;;;;
586_289AL_81.2;;;;;;;;;;;;;;
618_107AqV_51.3;;;;;;;;;;;;;;
926_2008L_1.6;;;;;;;;;;;;;;
618_25AV_58.5;;;;;;;;;;;;;;
817_1213R_115.3;;;;;;;;;;;;;;
524_251AL_70.4;;;;;;;;;;;;;;
527_93L_17.3;;;;;;;;;;;;;;
470_186V_305.9;;;;;;;;;;;;;;
478_1523V_0.9;;;;;;;;;;;;;;
550_954V_25.0;;;;;;;;;;;;;;
118_3L_89.1;;;;;;;;;;;;;;
011_805L_68.2;;;;;;;;;;;;;;
555_267BqV_83.6;;;;;;;;;;;;;;
550_937L_25.9;;;;;;;;;;;;;;
926_2011L_1.6;;;;;;;;;;;;;;
508_923pV_91.1;;;;;;;;;;;;;;
203_363AL_47.2;;;;;;;;;;;;;;
553_309AR_22.2;;;;;;;;;;;;;;
520_1013R_1.0;;;;;;;;;;;;;;
073_903V_1.0;;;;;;;;;;;;;;
506_632V_44.2;;;;;;;;;;;;;;
618_105BV_51.2;;;;;;;;;;;;;;
950_1003R_7.2;;;;;;;;;;;;;;
514_113BV_16.8;;;;;;;;;;;;;;
852_1V_160.7;;;;;;;;;;;;;;
508_921V_91.0;;;;;;;;;;;;;;
544_1077BV_0.3;;;;;;;;;;;;;;
508_2001R_90.0;;;;;;;;;;;;;;
054_1367AL_53.6;;;;;;;;;;;;;;
618_17AR_58.7;;;;;;;;;;;;;;
564_433AR_23.5;;;;;;;;;;;;;;
545_265AL_22.5;;;;;;;;;;;;;;
924_992R_34.3;;;;;;;;;;;;;;
950_813R_41.7;;;;;;;;;;;;;;
522_185BV_57.8;;;;;;;;;;;;;;
625_277R_15.4;;;;;;;;;;;;;;
516_918V_1.7;;;;;;;;;;;;;;
506_153AL_44.1;;;;;;;;;;;;;;
603_89R_2.6;;;;;;;;;;;;;;
555_267AL_83.5;;;;;;;;;;;;;;
927_3051AL_905.3;;;;;;;;;;;;;;
478_1335L_2.1;;;;;;;;;;;;;;
502_273qV_101.0;;;;;;;;;;;;;;
586_2503AL_80.2;;;;;;;;;;;;;;
950_101qV_6.8;;;;;;;;;;;;;;
586_337AR_81.5;;;;;;;;;;;;;;
534_1099BV_46.1;;;;;;;;;;;;;;
614_2121R_47.4;;;;;;;;;;;;;;
603_73L_2.5;;;;;;;;;;;;;;
608_65BqV_88.9;;;;;;;;;;;;;;
534_1081BqV_46.0;;;;;;;;;;;;;;
506_143V_44.2;;;;;;;;;;;;;;
501_935R_80.5;;;;;;;;;;;;;;
517_77AL_69.4;;;;;;;;;;;;;;
468_50R_100.6;;;;;;;;;;;;;;
127_359AR_37.4;;;;;;;;;;;;;;
543_177BL_45.5;;;;;;;;;;;;;;
609_207L_28.7;;;;;;;;;;;;;;
536_241AL_60.7;;;;;;;;;;;;;;
