NAAM_ID;NAAM_LRS_VAN;NAAM_LRS_TOT;SEGMENT_IDENTIFICATIE;SEGMENT_LRS_VAN;SEGMENT_LRS_TOT;OBJECT_NAAM;BEGRENZERNAAM_BEGIN;BEGRENZERNAAM_EIND;BEGRENZERTYPE_BEGIN;BEGRENZERTYPE_EIND;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
121#w523AV-w521BV#8.403208;0;62302;e2ce76dd-5a62-b28c-d3b4-cb12b84dd81e;66202;3900;w523AV-w521BV;523A;521B;WISSEL_GW;WISSEL_GW;20220614;C;19
117#w1843R-w1845R#6.357864;0;33369;36f04200-7f6e-f3e0-7f69-f6303215d1e0;61156;94525;w1843R-w1845R;1843;1845;WISSEL_GW;WISSEL_GW;20220614;C;19
507#w239AR-w241V#93.809614;0;103837;2b5a8a10-ef19-45cf-db9f-7c1e5e4afa3f;58131;161968;w239AR-w241V;239A;241;WISSEL_GW;WISSEL_GW;20220614;C;19
524#w251BV-w257BR#70.496260;0;9422;fa23f214-978d-e519-3ec2-55d5c5f60439;3901;13323;w251BV-w257BR;251B;257B;WISSEL_GW;WISSEL_GW;20220614;C;19
545#w967R-w968V#22.812000;0;15919;71628693-da29-c4a5-c3c8-264354784217;36491;52410;w967R-w968V;967;968;WISSEL_GW;WISSEL_GW;20220614;C;19
950#w67R-w69V#40.847234;0;202;bda6f5c9-5f37-3856-cea4-ff04ff656355;36491;36693;w67R-w69V;67;69;WISSEL_GW;WISSEL_GW;20220614;C;19
950#535b#16.884355;0;678443;d3285d0b-2017-73ea-61b4-fc58c61be254;34066;712509;535b;904;918;WISSEL_GW;WISSEL_GW;20220614;C;19
950#w95/97AP-w97BR#41.578454;0;3203;df47c44b-1d02-aacf-a06f-20df60e9047c;23010;26213;w95/97AP-w97BR;95/97A;97B;WISSEL_EW;WISSEL_GW;20220614;C;19
504#w13BV-w17BR#17.136061;0;2754;1b200002-0e26-4070-d66c-609d6a3d173d;4500;7254;w13BV-w17BR;13B;17B;WISSEL_GW;WISSEL_GW;20220614;C;19
542#w1163R-w1165V#29.060722;0;14915;f967ed22-4bcc-3bb3-bcdb-ba0e80fdb0d8;47010;61925;w1163R-w1165V;1163;1165;WISSEL_GW;WISSEL_GW;20220614;C;19
