NAAM;PUIC;GEOCODE_BEGIN;SUBCODE_BEGIN;NAAM_GEOCODE_BEGIN;GEOCODE_KM_VAN;NR_BEGIN;PUIC_BEGIN;OBJECTTYPE_BEGIN;KANTCODE_BEGIN;GEOCODE_EIND;SUBCODE_EIND;NAAM_GEOCODE_EIND;GEOCODE_KM_TOT;NR_EIND;PUIC_EIND;OBJECTTYPE_EIND;KANTCODE_EIND;LRS_VAN;LRS_TOT;LENGTE_GEOM;VERSIE_DATUM;VERSIE_GELDIG;VERSIE_NUMMER
151AR;73bbdb7d-8bff-4096-8ff6-3bdf34786d1f;610;;Dieren;13.926049;151A;00d8d7e0-a1aa-4af0-94e6-2d4493e25985;WISSEL_GW;R;507;b;Velperbroek Aansl.;93.697042;233;987fb6e9-ace7-4fd4-a4ff-33b5f5b9e9c4;WISSEL_GW;L;34065;13957782;13923717;20221206;C;20
1671V;67bdf16f-a2d0-4c12-a8f3-d9ab2423b397;479;a;Maasvlakte 2;301.903678;1671;2e49e248-a11a-498a-ad73-5a7fc7897c97;WISSEL_GW;V;479;a;Maasvlakte 2;301.909934;1673;bb2506f8-6a1c-4857-96f4-c6655ef63f3e;WISSEL_GW;V;3900;10167;6266;20221206;C;20
1673R;84ef821d-9a8a-45cb-9db2-b0e551835307;479;a;Maasvlakte 2;301.950239;1673;bb2506f8-6a1c-4857-96f4-c6655ef63f3e;WISSEL_GW;R;479;a;Maasvlakte 2;304.266383;1705;c2ef9651-cf61-461e-b67f-7242e5da4cbd;WISSEL_GW;L;36470;2342295;2305824;20221206;C;20
155R;504f4eac-195a-42a1-8e8c-8ed478f4c323;522;b;Uitgeest;57.484024;155;b5d5fd05-86ed-4736-bfd7-9c0ec62e0781;WISSEL_GW;R;522;b;Uitgeest;57.918701;209;97ec8154-2328-44f9-b3d9-76ced3441af2;WISSEL_GW;L;36492;474439;437947;20221206;C;20
83R;ab8f39ff-59a8-4732-808e-3f72d030039a;950;e;Barendrecht Vork - Rotterdam Maasvlakte;41.092297;83;78793c8a-b2a6-4a15-b5b7-432f29aac5d2;WISSEL_GW;R;950;e;Barendrecht Vork - Rotterdam Maasvlakte;41.789201;109B/111A;cc91a6f8-afb1-401b-86ae-f001e63044d3;WISSEL_EW;Q;34065;729473;695408;20221206;C;20
103V;8182c4dd-acb0-425f-b628-74d403da9a6e;950;e;Barendrecht Vork - Rotterdam Maasvlakte;41.739696;103;effc95dd-25d4-49f4-8ee5-3ca39f154bca;WISSEL_GW;V;950;e;Barendrecht Vork - Rotterdam Maasvlakte;41.74866;105/109A;db9e8c54-8e40-4c8e-8cc9-6ae9762a8ecd;WISSEL_EW;S;4501;13446;8946;20221206;C;20
83L;a2a994a0-242d-431c-9714-fbe2d92dc849;950;e;Barendrecht Vork - Rotterdam Maasvlakte;41.092197;83;78793c8a-b2a6-4a15-b5b7-432f29aac5d2;WISSEL_GW;L;950;e;Barendrecht Vork - Rotterdam Maasvlakte;41.748442;105/109A;db9e8c54-8e40-4c8e-8cc9-6ae9762a8ecd;WISSEL_EW;Q;34089;689206;655117;20221206;C;20
1157V;753e2cc1-7a20-4d0d-b6c5-99686b85c88e;478;a;Rotterdam Europoort 4;0.815783;1157;89c83444-19b8-4006-ad79-1f7d0a65acce;WISSEL_GW;V;478;a;Rotterdam Europoort 4;0.81364;1159;352732ad-06ab-441c-9988-52a70eda745b;WISSEL_GW;R;4501;6657;2156;20221206;C;20
61V;26770d9c-dc12-428d-9340-54c14983426a;433;;Sittard - Born;4.683207;61;812b034d-23e6-4741-90d2-b3b04292e987;WISSEL_GW;V;553;c;Sittard;22.344875;311B/313;a7b06fc2-bad3-4ece-85d6-dd401e8feedd;WISSEL_EW;T;3900;4667568;4663668;20221206;C;20
57R;7e3bc536-1a08-40a9-b18e-0478b59a9ee1;517;b;Venlo;69.166784;57;3a2c1d2d-ab7b-4ed1-b607-a80c1ab96d06;WISSEL_GW;R;517;b;Venlo;69.395059;79;bd191331-41c7-4bba-b6d8-f9ccfa396ee4;WISSEL_GW;V;34065;254287;220222;20221206;C;20
77AL;0c49cca3-941b-4c5f-9848-a3e87dd70b1f;517;b;Venlo;69.427382;77A;1495da5a-6ac7-482c-a3be-c4c2c4d99c9c;WISSEL_GW;L;517;a;Venlo;0.067554;187;d0810563-4831-48c1-a1f7-63be63d89956;WISSEL_GW;L;34088;615949;581861;20221206;C;20
233L;18d6636c-d8d5-401e-a56c-099881337faf;609;;Zutphen;28.041621;233;4fbd752e-aea9-4008-a6a1-ebe10d02271f;WISSEL_GW;L;609;;Zutphen;28.044718;235;39f0c8d4-978f-4ecf-8e3b-ae0662c31229;WISSEL_GW;V;36448;39608;3160;20221206;C;20
